ticker,VNJA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-04-07,68.4444
2016-05-04,45.1187
2016-05-19,10.4545
2016-05-20,6.0905
2016-06-21,16.4469
2016-08-08,4.4637
2016-08-15,-4.273
2016-09-02,8.1945
2016-09-12,5.665
2016-09-16,-7.2261
2016-09-23,7.7889
2016-09-28,4.7786
2016-11-04,-33.871
2017-02-09,50.4626
2017-05-05,16.7691
2017-11-16,-18.5735
2017-12-05,-0.0588
2018-01-18,-13.5294
2018-06-11,-2.1769
2019-01-07,0.0
2020-05-08,-70.4451
2020-05-13,-5.8824
2020-05-18,0.0
2020-07-10,25.0
2020-07-14,0.0
