ticker,ACUS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-10-08,0.2143
2003-10-09,-6.6287
2003-10-10,-0.3817
2003-10-13,-1.1494
2003-10-14,-5.814
2003-10-15,-8.642
2003-10-16,1.3514
2003-10-17,-4.4444
2003-10-20,-5.3023
2003-10-21,2.1611
2003-10-22,-2.8846
2003-10-23,-0.9901
2003-10-24,-1.7
2003-10-27,0.6918
2003-10-28,-0.9901
2003-10-29,0.5
2003-10-30,-0.4975
2003-10-31,-2.0408
2003-11-03,-3.5417
2003-11-04,-1.8359
2003-11-05,-0.9901
2003-11-06,-1.6667
2003-11-07,-0.565
2003-11-10,-1.8182
2003-11-11,2.4306
2003-11-12,-3.3898
2003-11-13,-3.9766
2003-11-14,-0.1218
2003-11-17,0.6098
2003-11-18,3.6364
2003-11-19,-6.4327
2003-11-20,-7.25
2003-11-21,-5.7951
2003-11-24,0.1431
2003-11-25,1.4285999999999999
2003-11-26,2.1127
2003-11-28,0.5517
2003-12-01,4.2524
2003-12-02,4.2105
2003-12-03,7.1843
2003-12-04,0.1296
2003-12-05,-0.2353
2003-12-08,1.4151
2003-12-09,-1.7442
2003-12-10,-1.1834
2003-12-11,2.1557
2003-12-12,3.517
2003-12-15,-0.5663
2003-12-16,-2.3918
2003-12-17,-2.5671
2003-12-18,-4.7904
2003-12-19,3.5220000000000002
2003-12-22,0.8505
2003-12-23,2.4096
2003-12-24,-2.5882
2003-12-26,-2.3068
2003-12-29,3.8447
2003-12-30,1.9048
2003-12-31,2.5701
2004-01-02,0.2278
2004-01-05,-0.5682
2004-01-06,8.0
2004-01-07,2.4339
2004-01-08,2.7893
2004-01-09,0.5025
2004-01-12,-0.2
2004-01-13,-2.3045999999999998
2004-01-14,-1.0256
2004-01-15,0.3109
2004-01-16,-0.2066
2004-01-20,1.4493
2004-01-21,4.0816
2004-01-22,0.0
2004-01-23,0.2941
2004-01-26,1.6520000000000001
2004-01-27,-2.7791
2004-01-28,-0.0989
2004-01-29,0.9901
2004-01-30,-5.3922
2004-02-02,1.5544
2004-02-03,0.5102
2004-02-04,-3.5533
2004-02-05,0.1053
2004-02-06,0.9464
2004-02-09,0.4167
2004-02-10,-0.4149
2004-02-11,-5.2083
2004-02-12,3.7363
2004-02-13,-6.25
2004-02-17,-1.6949
2004-02-18,-2.2989
2004-02-19,3.5294
2004-02-20,0.6818
2004-02-23,0.0
2004-02-24,-0.6772
2004-02-25,-1.6932
2004-02-26,1.1444
2004-02-27,-1.7143000000000002
