ticker,LE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-03-21,-8.9552
2014-03-24,0.7213
2014-03-25,0.4232
2014-03-26,-1.4586999999999999
2014-03-27,-0.5921
2014-03-28,-3.3422
2014-03-31,2.7388
2014-04-01,1.5995
2014-04-02,5.7724
2014-04-03,-1.3953
2014-04-04,-0.4088
2014-04-07,-6.694
2014-04-08,-7.4788
2014-04-09,-2.5968999999999998
2014-04-10,-2.4409
2014-04-11,0.1155
2014-04-14,0.5767
2014-04-15,-0.2676
2014-04-16,-0.8816
2014-04-17,0.9281
2014-04-21,4.8276
2014-04-22,2.3026
2014-04-23,-0.0715
2014-04-24,-1.0011
2014-04-25,-1.6612
2014-04-28,0.9916
2014-04-29,1.9273
2014-04-30,-1.3557000000000001
2014-05-01,-0.6872
2014-05-02,-0.4734
2014-05-05,-0.4025
2014-05-06,-2.6818999999999997
2014-05-07,-0.5663
2014-05-08,0.3797
2014-05-09,0.0
2014-05-12,1.9289
2014-05-13,0.2597
2014-05-14,1.0733
2014-05-15,-0.4028
2014-05-16,0.3676
2014-05-19,-1.5751
2014-05-20,-0.521
2014-05-21,2.2447
2014-05-22,-1.3538000000000001
2014-05-23,-0.6306
2014-05-27,0.0
2014-05-28,-1.0452
2014-05-29,2.3765
2014-05-30,2.2845
2014-06-02,-0.8285
2014-06-03,0.1453
2014-06-04,-0.4353
2014-06-05,-2.6593999999999998
2014-06-06,0.7111
2014-06-09,3.9391
2014-06-10,-2.7529
2014-06-11,-2.0956
2014-06-12,8.1863
2014-06-13,5.866
2014-06-16,4.5902
2014-06-17,2.6959
2014-06-18,0.5189
2014-06-19,5.8913
2014-06-20,-0.7169
2014-06-23,-3.7839
2014-06-24,-1.8013
2014-06-25,1.8954
2014-06-26,2.1902
2014-06-27,0.0294
2014-06-30,-1.4382
2014-07-01,1.7570000000000001
2014-07-02,-0.5853
2014-07-03,1.0598
2014-07-07,-0.233
2014-07-08,-0.6423
2014-07-09,-0.0882
2014-07-10,0.0588
2014-07-11,1.4403000000000001
2014-07-14,2.0284
2014-07-15,0.142
2014-07-16,3.8571
2014-07-17,1.9115
2014-07-18,0.911
2014-07-21,-0.77
2014-07-22,-0.8028
2014-07-23,-1.5916000000000001
2014-07-24,-2.4123
2014-07-25,-2.3034
2014-07-28,1.8976
2014-07-29,-0.1975
2014-07-30,2.1487
2014-07-31,-2.6017
2014-08-01,-2.6996
2014-08-04,0.6717
2014-08-05,-2.9301
2014-08-06,2.3609999999999998
