ticker,HOFSQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-06-12,-11.6086
2014-06-13,4.5902
2014-06-16,5.0323
2014-06-17,4.3612
2014-06-18,-1.236
2014-06-19,-0.1192
2014-06-20,-1.2530000000000001
2014-06-23,13.3535
2014-06-24,-1.0661
2014-06-25,1.9397
2014-06-26,-0.1057
2014-06-27,1.2169
2014-06-30,0.0
2014-07-01,0.8887
2014-07-02,-0.6218
2014-07-03,-1.9811999999999999
2014-07-07,2.766
2014-07-08,0.3623
2014-07-09,2.3724
2014-07-10,1.5112999999999999
2014-07-11,-1.9851
2014-07-14,3.2911
2014-07-15,-0.4902
2014-07-16,-0.7389
2014-07-17,-0.9926
2014-07-18,0.1504
2014-07-21,-0.2002
2014-07-22,-0.1003
2014-07-23,-0.6024
2014-07-24,-2.2727
2014-07-25,1.0853
2014-07-28,-1.0735999999999999
2014-07-29,-3.6176
2014-07-30,-1.0188
2014-07-31,-0.8667
2014-08-01,-0.1093
2014-08-04,-1.1488
2014-08-05,-1.4388
2014-08-06,1.3476
2014-08-07,0.0554
2014-08-08,-0.3876
2014-08-11,0.0556
2014-08-12,1.8333
2014-08-13,2.0185
2014-08-14,2.7807
2014-08-15,-0.9057
2014-08-18,-0.5376
2014-08-19,0.9189
2014-08-20,-0.7499
2014-08-21,0.9174
2014-08-22,1.2833999999999999
2014-08-25,0.264
2014-08-26,2.2117
2014-08-27,0.4637
2014-08-28,-1.0256
2014-08-29,0.9845
2014-09-02,-1.2314
2014-09-03,0.7273
2014-09-04,-1.9598
2014-09-05,-0.8417
2014-09-08,3.5013
2014-09-09,-0.7176
2014-09-10,0.2581
2014-09-11,0.4634
2014-09-12,-0.8201
2014-09-15,-0.8786
2014-09-16,-0.4171
2014-09-17,-0.2094
2014-09-18,0.2099
2014-09-19,-0.733
2014-09-22,-2.9536
2014-09-23,-0.9783
2014-09-24,-1.1526
2014-09-25,-0.6108
2014-09-26,-0.0559
2014-09-29,-1.2297
2014-09-30,-0.283
2014-10-01,-3.1215
2014-10-02,1.9918
2014-10-03,1.0339
2014-10-06,0.398
2014-10-07,-1.812
2014-10-08,-5.3633
2014-10-09,-4.5704
2014-10-10,-6.258
2014-10-13,0.6131
2014-10-14,-0.7448
2014-10-15,-3.0014
2014-10-16,3.9381
2014-10-17,-2.774
2014-10-20,8.3507
2014-10-21,1.991
2014-10-22,-0.3778
2014-10-23,2.6549
2014-10-24,-3.3867
2014-10-27,-1.7208
2014-10-28,5.3826
