ticker,PTOI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-01-25,-3.5714
2008-05-09,-48.1481
2008-05-28,7.1429
2008-06-03,-33.3333
2008-07-21,-10.0
2008-08-13,-44.4444
2008-08-19,0.0
2008-09-15,-10.0
2008-09-16,-55.5556
2008-11-11,-50.0
2008-12-10,-50.0
2009-01-14,500.0
2009-01-15,0.0
2009-01-16,66.6667
2009-01-27,0.0
2009-02-18,-20.0
2009-03-02,-50.0
2009-03-03,-75.0
2009-03-05,-80.0
2009-03-17,0.0
2009-04-24,49900.0
2009-04-27,-66.0
2009-04-28,105.8824
2009-04-30,45.7143
2009-05-01,-1.9607999999999999
2009-05-04,-40.0
2009-05-05,16.6667
2009-05-06,-17.1429
2009-05-07,-13.7931
2009-05-08,0.0
2009-05-11,0.0
2009-05-12,-20.0
2009-05-13,-40.0
2009-05-14,16.6667
2009-05-15,-42.8571
2009-05-18,25.0
2009-05-20,0.0
2009-05-21,0.0
2009-05-28,350.0
2009-05-29,-55.5556
2009-06-01,5.0
2009-06-02,42.8571
2009-06-03,-33.3333
2009-06-04,30.0
2009-06-05,0.0
2009-06-08,-23.0769
2009-06-09,35.0
2009-06-10,11.1111
2009-06-11,83.3333
2009-06-12,18.1818
2009-06-15,-38.4615
2009-06-16,75.0
2009-06-17,-28.5714
2009-06-18,10.0
2009-06-19,-18.1818
2009-06-22,66.6667
2009-06-23,-28.0
2009-06-24,9.2593
2009-06-25,238.9831
2009-06-26,-45.0
2009-06-29,-9.0909
2009-06-30,0.0
2009-07-01,13.0
2009-07-02,46.0177
2009-07-06,-9.0909
2009-07-07,-19.3333
2009-07-08,3.3058
2009-07-09,19.2
2009-07-10,0.0
2009-07-13,-13.4228
2009-07-14,-3.876
2009-07-15,-3.2258
2009-07-16,-8.3333
2009-07-17,4.5455
2009-07-20,-8.6957
2009-07-21,-26.6667
2009-07-22,29.8701
2009-07-23,0.0
2009-07-24,-1.0
2009-07-27,16.1616
2009-07-28,4.3478
2009-07-29,-7.5
2009-07-30,-0.9009
2009-07-31,-9.0909
2009-08-03,9.0
2009-08-04,-6.422
2009-08-05,-0.9804
2009-08-06,0.0
2009-08-07,14.3564
2009-08-10,19.4805
2009-08-11,8.6957
2009-08-12,4.6
2009-08-13,-13.9579
2009-08-14,-2.963
2009-08-17,-0.7634
2009-08-18,-4.6154
2009-08-19,-18.5484
2009-08-20,10.8911
2009-08-21,-9.8214
2009-08-24,-0.9901
2009-08-25,1.0
2009-08-26,-4.9505
