ticker,KAVL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-05-09,0.0
2007-07-10,-16.6667
2007-08-16,4.0
2009-04-23,96.1538
2009-05-26,243.1373
2009-05-27,17.1429
2009-06-02,-21.9512
2009-06-03,0.0
2009-06-08,25.0
2009-06-10,0.0
2009-06-11,0.0
2009-06-16,0.0
2009-06-18,22.5
2009-06-23,18.3673
2009-06-24,0.0
2009-06-26,-17.2414
2009-07-02,4.1667
2009-07-06,0.0
2009-07-07,16.0
2009-07-08,4.4828
2009-07-09,0.0
2009-07-10,-0.9901
2009-07-14,-5.0
2009-07-15,6.3158
2009-07-16,-5.9406
2009-07-17,-5.2632
2009-07-20,-5.5556
2009-07-22,-29.4118
2009-07-29,58.3333
2009-08-05,-31.5789
2009-08-07,29.2308
2009-08-11,11.9048
2009-08-24,-41.4894
2009-08-28,0.0
2009-09-11,0.0
2009-09-23,-7.2727
2009-09-24,0.0
2009-10-01,-21.5686
2009-10-14,-50.0
2009-10-26,50.0
2009-10-30,-66.6667
2009-11-17,0.0
2009-12-14,20.0
2010-01-26,0.0
2010-02-03,-41.6667
2010-02-26,42.8571
2010-03-04,-20.0
2010-03-05,12.5
2010-03-09,-33.3333
2010-03-12,66.6667
2010-03-22,-20.0
2010-03-29,212.5
2010-04-19,-40.0
2010-04-23,0.0
2010-04-26,-46.6667
2010-04-29,-25.0
2010-05-12,50.0
2010-05-25,0.0
2010-05-27,11.1111
2010-05-28,50.0
2010-06-02,-40.0
2010-06-03,88.8889
2010-06-04,17.647100000000002
2010-06-07,-10.0
2010-06-08,-5.5556
2010-06-09,11.7647
2010-06-10,-2.6316
2010-06-11,8.1081
2010-06-14,-7.5
2010-06-16,8.1081
2010-06-17,0.0
2010-06-18,0.0
2010-06-21,-5.0
2010-06-22,5.2632
2010-06-23,-25.0
2010-06-24,18.6667
2010-06-25,6.7416
2010-06-29,-36.8421
2010-06-30,-16.6667
2010-07-01,0.0
2010-07-02,0.0
2010-07-06,-20.0
2010-07-07,25.0
2010-07-08,-30.0
2010-07-09,0.0
2010-07-12,0.0
2010-07-13,14.2857
2010-07-14,10.0
2010-07-15,-26.1364
2010-07-16,15.3846
2010-07-19,-2.6667
2010-07-20,-52.0548
2010-07-21,71.4286
2010-07-22,-16.6667
2010-07-23,10.0
2010-07-26,-9.0909
2010-07-27,10.0
2010-07-28,9.0909
2010-07-29,0.0
2010-07-30,16.6667
2010-08-02,28.5714
2010-08-03,0.0
2010-08-04,33.3333
2010-08-05,16.6667
