ticker,GSX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-06-07,-4.5802
2019-06-10,-4.5
2019-06-11,-0.3141
2019-06-12,0.5252
2019-06-13,-0.1045
2019-06-14,-0.6276
2019-06-17,-0.5263
2019-06-18,-0.4233
2019-06-19,-0.6376
2019-06-20,0.2139
2019-06-21,2.4546
2019-06-24,-2.5
2019-06-25,0.4274
2019-06-26,0.2128
2019-06-27,6.2633
2019-06-28,7.7922
2019-07-01,-8.063
2019-07-02,2.3185000000000002
2019-07-03,3.4483
2019-07-05,0.9524
2019-07-08,-9.717
2019-07-09,-0.627
2019-07-10,-4.6267
2019-07-11,0.0
2019-07-12,0.5513
2019-07-15,5.0439
2019-07-16,5.6367
2019-07-17,2.7668
2019-07-18,-3.2692
2019-07-19,2.7833
2019-07-22,4.6422
2019-07-23,4.159
2019-07-24,5.4126
2019-07-25,7.2391
2019-07-26,2.0408
2019-07-29,2.3077
2019-07-30,-0.9023
2019-07-31,-1.7450999999999999
2019-08-01,-0.3861
2019-08-02,-0.8527
2019-08-05,-1.9546999999999999
2019-08-06,0.4785
2019-08-07,4.3651
2019-08-08,0.9886
2019-08-09,0.6024
2019-08-12,9.8054
2019-08-13,-2.9312
2019-08-14,-5.8989
2019-08-15,-0.0746
2019-08-16,0.4481
2019-08-19,3.6431
2019-08-20,5.0933
2019-08-21,9.215
2019-08-22,-8.6875
2019-08-23,-7.1184
2019-08-26,-5.6743
2019-08-27,-0.1563
2019-08-28,7.4335
2019-08-29,-0.6555
2019-08-30,4.9853
2019-09-03,-3.9804
2019-09-04,-4.8
2019-09-05,-2.0626
2019-09-06,-4.0562
2019-09-09,1.3008
2019-09-10,2.9695
2019-09-11,0.7794
2019-09-12,0.1547
2019-09-13,3.7838000000000003
2019-09-16,1.1905000000000001
2019-09-17,0.7353
2019-09-18,3.2847
2019-09-19,0.9894
2019-09-20,2.0994
2019-09-23,0.0
2019-09-24,-3.5641
2019-09-25,5.6148
2019-09-26,-0.7402
2019-09-27,1.8305
2019-09-30,1.9308
2019-10-01,-1.0451
2019-10-02,-7.0627
2019-10-03,0.2131
2019-10-04,4.1814
2019-10-07,-2.517
2019-10-08,-3.1403
2019-10-09,4.3948
2019-10-10,-2.0014
2019-10-11,0.7746
2019-10-14,0.0
2019-10-15,-2.0964
2019-10-16,0.6424
2019-10-17,3.617
2019-10-18,-2.4641
2019-10-21,-1.8246
2019-10-22,1.8585
2019-10-23,0.5614
2019-10-24,4.6754999999999995
2019-10-25,2.7333
