ticker,NWMH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-12-16,60.0
2014-12-19,8.75
2014-12-22,14.9425
2014-12-29,10.0
2015-01-05,-9.0909
2015-02-03,0.0
2015-02-04,0.0
2015-02-05,0.0
2015-02-06,0.0
2015-02-09,0.0
2015-02-10,0.0
2015-02-11,0.0
2015-02-12,5.0
2015-02-13,9.5238
2015-02-17,4.3478
2015-02-18,5.8333
2015-02-19,6.2992
2015-02-20,3.7037
2015-02-23,0.0
2015-02-24,2.8571
2015-02-25,0.0
2015-02-26,0.0
2015-02-27,0.0
2015-03-02,0.0
2015-03-03,0.6944
2015-03-04,0.0
2015-03-05,4.8276
2015-03-06,4.6053
2015-03-09,0.6289
2015-03-10,2.5
2015-03-11,0.0
2015-03-12,0.0
2015-03-13,0.6098
2015-03-16,0.0
2015-03-17,0.0
2015-03-18,-1.8182
2015-03-19,0.6173
2015-03-20,0.0
2015-03-23,0.0
2015-03-24,1.227
2015-03-25,1.8182
2015-03-26,1.7856999999999998
2015-03-27,0.5848
2015-03-30,0.5814
2015-03-31,-0.578
2015-04-01,1.1628
2015-04-02,0.5747
2015-04-06,0.0
2015-04-07,1.7143000000000002
2015-04-08,1.1236
2015-04-09,0.5556
2015-04-10,1.105
2015-04-13,0.5464
2015-04-14,1.087
2015-04-15,0.0
2015-04-16,-0.5376
2015-04-17,-2.7027
2015-04-20,-2.7778
2015-04-21,-3.4286
2015-04-22,0.0
2015-04-23,7.6923
2015-04-24,-2.1978
2015-04-27,0.5618
2015-04-28,0.0
2015-04-29,0.0
2015-04-30,-16.2011
2015-05-01,19.3333
2015-05-04,-0.5587
2015-05-05,3.9326
2015-05-06,2.1622
2015-05-07,-0.5291
2015-05-08,2.1277
2015-05-11,1.0417
2015-05-12,-1.0309
2015-05-13,0.5208
2015-05-14,-1.0363
2015-05-15,0.5236
2015-05-18,3.125
2015-05-19,0.0
2015-05-20,-0.5051
2015-05-21,-1.0152
2015-05-22,-8.2051
2015-05-26,-0.5587
2015-05-27,-1.1236
2015-05-28,2.2727
2015-05-29,-1.1111
2015-06-01,1.6854
2015-06-02,1.105
2015-06-03,0.5464
2015-06-04,0.5435
2015-06-05,-0.5405
2015-06-08,-0.5435
2015-06-09,-1.0929
2015-06-10,1.6575
2015-06-11,-0.5435
2015-06-12,0.0
2015-06-15,-0.5464
2015-06-16,0.0
2015-06-17,-0.5495
2015-06-18,2.7624
2015-06-19,0.5376
2015-06-22,0.0
2015-06-23,-6.4171
