ticker,ECOX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-11-22,-9.4828
2011-11-23,11.9048
2011-11-25,0.0
2011-11-28,4.2553
2011-11-29,0.0
2011-11-30,0.0
2011-12-01,0.0
2011-12-02,0.0
2011-12-05,0.0
2011-12-06,-18.3673
2011-12-07,33.5
2011-12-08,-6.367
2011-12-09,-4.0
2011-12-12,-6.25
2011-12-13,2.2222
2011-12-14,-4.3478
2011-12-16,-36.3636
2011-12-19,7.1429
2011-12-20,0.0
2011-12-21,-16.0
2011-12-22,19.0476
2011-12-23,10.0
2011-12-27,6.0606
2011-12-28,2.8571
2011-12-29,2.7778
2011-12-30,8.1081
2012-01-03,-20.0
2012-01-04,-6.25
2012-01-05,-26.6667
2012-01-06,54.5455
2012-01-09,0.0
2012-01-10,-23.5294
2012-01-11,-3.8462
2012-01-12,28.0
2012-01-13,-25.0
2012-01-17,-8.3333
2012-01-18,-9.0909
2012-01-19,0.0
2012-01-20,0.0
2012-01-23,-5.0
2012-01-24,0.0
2012-01-25,-15.7895
2012-01-26,-37.5
2012-01-31,0.0
2012-02-01,25.0
2012-02-02,4.0
2012-02-03,15.3846
2012-02-06,28.0
2012-02-07,-14.5833
2012-02-08,-2.439
2012-02-09,-12.5
2012-02-10,-11.4286
2012-02-13,12.9032
2012-02-14,14.2857
2012-02-15,-12.5
2012-02-16,5.7143
2012-02-17,-11.4865
2012-02-21,17.3664
2012-02-22,9.2683
2012-02-23,-10.7143
2012-02-24,-14.9167
2012-02-27,-23.2125
2012-02-28,21.4286
2012-02-29,-15.9664
2012-03-01,-15.0
2012-03-02,17.647100000000002
2012-03-05,0.0
2012-03-06,2.0
2012-03-07,15.6863
2012-03-08,-30.5085
2012-03-09,9.7561
2012-03-12,8.8889
2012-03-13,-2.0408
2012-03-14,-37.5
2012-03-15,-3.3333
2012-03-16,-1.7241
2012-03-19,-22.807
2012-03-21,-4.5455
2012-03-22,52.381
2012-03-26,-6.25
2012-03-27,0.0
2012-03-28,32.9167
2012-03-30,-0.9404
2012-04-02,-44.3038
2012-04-03,0.0
2012-04-05,0.0
2012-04-09,-4.5455
2012-04-10,0.0
2012-04-12,0.0
2012-04-13,0.0
2012-04-16,0.0
2012-04-17,-19.0476
2012-04-23,0.0
2012-04-25,47.0588
2012-04-26,0.0
2012-04-30,0.0
2012-05-01,40.0
2012-05-02,-17.1429
2012-05-03,10.3448
2012-05-04,-37.5
2012-05-07,-9.0625
2012-05-08,-1.0309
2012-05-09,-22.2222
