ticker,MLND US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-11-13,13.3333
2012-11-14,-5.8824
2012-11-15,0.0
2012-11-20,-6.25
2012-11-21,22.0
2012-11-23,0.0
2012-11-26,-6.0109
2012-11-27,0.0
2012-11-28,8.1395
2012-11-29,0.0
2012-11-30,-2.6882
2012-12-03,-7.7348
2012-12-04,-0.5988
2012-12-05,-6.0241
2012-12-06,6.9231
2012-12-07,-2.8777
2012-12-10,2.4691
2012-12-11,2.4096
2012-12-12,-5.2941
2012-12-14,-0.6211
2012-12-17,0.0
2012-12-18,6.25
2012-12-19,3.5294
2012-12-21,0.0
2012-12-24,-3.4091
2012-12-26,0.0
2012-12-28,0.0
2012-12-31,-1.5293999999999999
2013-01-02,1.5532
2013-01-03,0.0
2013-01-04,0.0
2013-01-07,5.8824
2013-01-08,-2.7778
2013-01-09,-3.4286
2013-01-10,-2.3669000000000002
2013-01-11,4.2424
2013-01-14,-5.2326
2013-01-15,4.2945
2013-01-16,1.1764999999999999
2013-01-17,0.0
2013-01-23,-2.3256
2013-01-24,-2.9762
2013-01-25,3.0675
2013-01-28,0.0
2013-01-29,0.0
2013-01-30,0.119
2013-01-31,7.0155
2013-02-01,0.0
2013-02-06,-5.5556
2013-02-07,-0.3529
2013-02-08,0.3542
2013-02-12,0.0
2013-02-14,3.1765
2013-02-15,2.6226000000000003
2013-02-19,0.0
2013-02-20,-0.1111
2013-02-25,8.4538
2013-02-27,10.2564
2013-03-04,0.0
2013-03-05,2.3256
2013-03-06,16.0909
2013-03-07,5.7165
2013-03-08,2.963
2013-03-11,0.7194
2013-03-12,-3.5714
2013-03-13,-18.1481
2013-03-14,-0.4525
2013-03-15,0.9091
2013-03-18,-5.4054
2013-03-19,2.8571
2013-03-20,-7.4074
2013-03-21,-1.0
2013-03-22,-1.0101
2013-03-25,-8.1633
2013-03-26,0.0
2013-03-27,1.5556
2013-03-28,-1.5316999999999998
2013-04-02,1.2222
2013-04-03,-0.6586
2013-04-04,-0.5525
2013-04-05,1.1111
2013-04-08,0.0
2013-04-09,0.0
2013-04-10,0.0
2013-04-11,0.5495
2013-04-15,1.8578999999999999
2013-04-16,6.2232
2013-04-17,0.0
2013-04-18,0.0
2013-04-19,0.0
2013-04-22,0.202
2013-04-23,-1.7137
2013-04-25,8.1026
2013-04-26,18.5958
2013-04-29,-8.0
2013-04-30,1.7391
2013-05-01,2.9915000000000003
2013-05-02,0.4149
2013-05-03,-9.0909
2013-05-06,0.8182
