ticker,V US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-03-19,28.4091
2008-03-20,13.8938
2008-03-24,-7.1795
2008-03-25,5.8932
2008-03-26,1.1225
2008-03-27,-1.6417000000000002
2008-03-28,-0.2384
2008-03-31,-0.6373
2008-04-01,-1.2027
2008-04-02,1.1524
2008-04-03,5.1027
2008-04-04,-1.5573000000000001
2008-04-07,0.8685
2008-04-08,4.6894
2008-04-09,-3.3779
2008-04-10,0.4864
2008-04-11,0.0
2008-04-14,-0.6504
2008-04-15,-2.025
2008-04-16,2.7817
2008-04-17,1.3607
2008-04-18,2.9236
2008-04-21,2.8551
2008-04-22,-0.9722
2008-04-23,-0.2846
2008-04-24,3.1678
2008-04-25,3.8728
2008-04-28,0.7057
2008-04-29,6.9417
2008-04-30,3.1775
2008-05-01,2.3367
2008-05-02,-3.103
2008-05-05,2.7915
2008-05-06,2.9038
2008-05-07,1.1082
2008-05-08,-1.3559
2008-05-09,-5.0859
2008-05-12,-1.1586
2008-05-13,0.5861
2008-05-14,-0.1821
2008-05-15,0.0243
2008-05-16,0.1459
2008-05-19,1.1533
2008-05-20,-0.6961
2008-05-21,-2.2843
2008-05-22,-4.3785
2008-05-23,-1.2418
2008-05-27,3.1303
2008-05-28,4.0386
2008-05-29,4.0649
2008-05-30,1.3021
2008-06-02,-0.3358
2008-06-03,1.7311
2008-06-04,-2.3755
2008-06-05,2.059
2008-06-06,-4.1151
2008-06-09,-1.8051
2008-06-10,-2.2279
2008-06-11,-3.2001
2008-06-12,2.3411
2008-06-13,2.4761
2008-06-16,2.1342
2008-06-17,1.6813
2008-06-18,-0.9567
2008-06-19,0.4889
2008-06-20,-0.8307
2008-06-23,-3.0035
2008-06-24,1.9738
2008-06-25,-0.7259
2008-06-26,-3.6071
2008-06-27,4.4248
2008-06-30,-1.5617
2008-07-01,0.123
2008-07-02,-2.4444
2008-07-03,-1.6998
2008-07-07,-3.1382
2008-07-08,4.5491
2008-07-09,-4.0349
2008-07-10,1.8189
2008-07-11,-3.4951
2008-07-14,-2.6425
2008-07-15,-5.7316
2008-07-16,5.5685
2008-07-17,3.918
2008-07-18,-2.2116
2008-07-21,-2.0436
2008-07-22,2.9903
2008-07-23,-1.0804
2008-07-24,-4.3276
2008-07-25,2.6826
2008-07-28,-1.9594
2008-07-29,7.6825
2008-07-30,3.2644
2008-07-31,-6.8706
2008-08-01,-1.8204
2008-08-04,1.0735
2008-08-05,1.5171999999999999
2008-08-06,-2.8804
2008-08-07,-2.77
