ticker,RYMM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-06-05,748.1262
2007-06-06,0.0
2007-06-07,11.6279
2007-06-12,87.5
2007-06-14,13.3333
2007-06-15,-11.7647
2007-06-18,0.0
2007-06-19,0.0
2007-06-21,0.0
2007-06-27,0.0
2007-07-03,-13.3333
2007-07-05,0.0
2007-07-06,-3.8462
2007-07-09,20.0
2007-07-10,-6.6667
2007-07-11,-7.1429
2007-07-12,7.6923
2007-07-16,-7.1429
2007-07-23,3.8462
2007-07-25,3.7037
2007-07-26,-2.1429
2007-07-27,0.0
2007-07-30,2.1898
2007-07-31,0.0
2007-08-01,-7.1429
2007-08-02,-3.5385
2007-08-03,15.63
2007-08-09,3.4483
2007-08-10,-5.3333
2007-08-14,-8.4507
2007-08-15,7.6923
2007-08-17,-7.1429
2007-08-23,-7.3077
2007-08-24,0.4149
2007-08-27,-0.8264
2007-08-28,12.5
2007-08-29,3.7037
2007-09-04,-3.5714
2007-09-11,3.7037
2007-09-14,-1.4285999999999999
2007-09-18,-5.0725
2007-09-19,-0.7634
2007-09-21,-3.8462
2007-09-25,-6.4
2007-09-26,0.0
2007-09-27,0.0
2007-09-28,-1.7094
2007-10-03,6.087
2007-10-04,13.9344
2007-10-05,-10.0719
2007-10-11,-6.4
2007-10-12,0.0
2007-10-16,-14.5299
2007-10-17,5.0
2007-10-18,-4.7619
2007-10-19,-1.0
2007-10-23,20.202
2007-10-29,-1.6806999999999999
2007-10-30,2.5641
2007-10-31,-2.5
2007-11-06,-10.2564
2007-11-07,11.4286
2007-11-09,0.8547
2007-11-12,0.0
2007-11-15,18.6441
2007-11-19,-21.4286
2007-11-20,0.9091
2007-11-21,25.2252
2007-11-26,-10.0719
2007-11-27,-15.2
2007-11-28,13.2075
2007-11-29,4.1667
2007-11-30,-4.0
2007-12-05,-11.6667
2007-12-06,0.0
2007-12-07,0.0
2007-12-11,17.9245
2007-12-13,0.0
2007-12-14,-4.0
2007-12-18,0.0
2007-12-19,-6.6667
2007-12-20,7.1429
2007-12-21,45.8333
2007-12-24,-8.5714
2007-12-26,15.625
2007-12-27,-5.4054
2007-12-28,0.0
2007-12-31,0.0
2008-01-02,-5.7143
2008-01-03,-18.1818
2008-01-04,22.2222
2008-01-07,0.0
2008-01-08,-18.1818
2008-01-09,0.0
2008-01-10,0.0
2008-01-11,-2.963
2008-01-15,3.0534
2008-01-16,-8.1481
2008-01-17,-15.3226
2008-01-18,-4.7619
2008-01-22,-34.0
