ticker,AFIN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-07-20,-6.8
2018-07-23,1.726
2018-07-24,-0.9936
2018-07-25,-0.2131
2018-07-26,1.7082000000000002
2018-07-27,3.9888
2018-07-30,0.352
2018-07-31,-2.0272
2018-08-01,2.3272
2018-08-02,-1.4716
2018-08-03,0.4752
2018-08-06,1.2162
2018-08-07,0.0
2018-08-08,-0.6676
2018-08-09,0.0617
2018-08-10,4.3771
2018-08-13,3.2258
2018-08-14,1.9375
2018-08-15,0.1839
2018-08-16,0.5508
2018-08-17,-0.0609
2018-08-20,0.4263
2018-08-21,-0.5458
2018-08-22,0.5488
2018-08-23,0.849
2018-08-24,0.6615
2018-08-27,-1.3142
2018-08-28,-0.3027
2018-08-29,-0.7286
2018-08-30,-2.9969
2018-08-31,-0.6936
2018-09-04,-0.6984
2018-09-05,2.2379
2018-09-06,-0.6254
2018-09-07,-2.2026
2018-09-10,5.1587
2018-09-11,-0.1846
2018-09-12,2.9593
2018-09-13,-0.0599
2018-09-14,0.9587
2018-09-17,0.8902
2018-09-18,3.0
2018-09-19,1.028
2018-09-20,0.3957
2018-09-21,-1.295
2018-09-24,-6.9025
2018-09-25,-4.2892
2018-09-26,-2.5608
2018-09-27,-1.774
2018-09-28,2.0736
2018-10-01,0.1966
2018-10-02,-1.1772
2018-10-03,-0.3309
2018-10-04,-1.9256
2018-10-05,-4.1977
2018-10-08,1.4134
2018-10-09,3.0662
2018-10-10,1.7692
2018-10-11,-2.7406
2018-10-12,-0.4124
2018-10-15,0.138
2018-10-16,-3.5148
2018-10-17,1.9285999999999999
2018-10-18,-0.7708
2018-10-19,-0.4944
2018-10-22,-1.7033
2018-10-23,1.083
2018-10-24,-0.7143
2018-10-25,-0.3597
2018-10-26,-1.5162
2018-10-29,-0.6598
2018-10-30,-0.0738
2018-10-31,-1.2555
2018-11-01,-0.9723
2018-11-02,1.1329
2018-11-05,-1.2696
2018-11-06,-4.1604
2018-11-07,-2.7493
2018-11-08,0.3271
2018-11-09,4.2379999999999995
2018-11-12,2.502
2018-11-13,2.8223000000000003
2018-11-14,-3.3383
2018-11-15,0.7675
2018-11-16,7.6923
2018-11-19,-0.9901
2018-11-20,-0.5714
2018-11-21,-1.0776
2018-11-23,0.6536
2018-11-26,0.0
2018-11-27,-1.5152
2018-11-28,0.5128
2018-11-29,-2.4052
2018-11-30,3.3607
2018-12-03,-1.8786
2018-12-04,-2.2091
2018-12-06,1.5813000000000001
2018-12-07,0.6795
