ticker,EMKR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,11.7647
2000-01-04,-6.9079
2000-01-05,1.7668
2000-01-06,11.1111
2000-01-07,-9.8438
2000-01-10,16.8111
2000-01-11,-0.2967
2000-01-12,-0.2976
2000-01-13,14.9254
2000-01-14,10.1299
2000-01-18,5.6604
2000-01-19,1.6741000000000001
2000-01-20,5.1592
2000-01-21,2.4008
2000-01-24,-5.4027
2000-01-25,-7.7586
2000-01-26,9.8131
2000-01-27,-6.8085
2000-01-28,-15.9817
2000-01-31,1.6303999999999998
2000-02-01,0.8021
2000-02-02,3.4483
2000-02-03,8.2051
2000-02-04,8.0569
2000-02-07,0.0
2000-02-08,1.5351
2000-02-09,-5.8315
2000-02-10,5.5046
2000-02-11,-2.6087
2000-02-14,15.8482
2000-02-15,18.4008
2000-02-16,15.0529
2000-02-17,58.5573
2000-02-18,7.2257
2000-02-22,-2.8286
2000-02-23,10.8305
2000-02-24,-14.2526
2000-02-25,-11.5315
2000-02-28,3.8186999999999998
2000-02-29,2.0108
2000-03-01,12.3077
2000-03-02,0.3853
2000-03-03,-1.0235
2000-03-06,-2.8005
2000-03-07,-6.7376000000000005
2000-03-08,3.8023
2000-03-09,5.3571
2000-03-10,6.0409
2000-03-13,-4.918
2000-03-14,2.7586
2000-03-15,-13.1292
2000-03-16,2.5592
2000-03-17,-4.8023
2000-03-20,-8.9021
2000-03-21,-1.4658
2000-03-22,5.7851
2000-03-23,2.0833
2000-03-24,1.3265
2000-03-27,-4.1289
2000-03-28,-4.0966
2000-03-29,-13.2667
2000-03-30,-19.6212
2000-03-31,44.619
2000-04-03,-23.4112
2000-04-04,-7.234
2000-04-05,6.0398
2000-04-06,1.2257
2000-04-07,9.4017
2000-04-10,-2.2786
2000-04-11,-12.2585
2000-04-12,-21.5831
2000-04-13,-10.1428
2000-04-14,-24.1379
2000-04-17,8.0966
2000-04-18,29.5664
2000-04-19,1.4199
2000-04-20,0.8
2000-04-24,-3.9683
2000-04-25,23.9153
2000-04-26,6.7945
2000-04-27,3.0445
2000-04-28,5.1515
2000-05-01,9.7983
2000-05-02,-5.643
2000-05-03,-0.765
2000-05-04,3.4338
2000-05-05,0.8808
2000-05-08,-2.1491
2000-05-09,-8.5793
2000-05-10,-7.5075
2000-05-11,-0.3247
2000-05-12,8.1433
2000-05-15,2.9367
2000-05-16,0.7315
2000-05-17,-1.5251000000000001
2000-05-18,-1.9912
2000-05-19,-3.6870000000000003
2000-05-22,2.4219
