ticker,CHAQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-06-23,2.1407
2020-06-24,0.7984
2020-06-25,-1.7327
2020-06-29,1.5617
2020-06-30,-1.5377
2020-07-01,1.2877
2020-07-02,-0.5252
2020-07-06,0.0
2020-07-07,0.5
2020-07-08,0.995
2020-07-09,-0.9852
2020-07-10,0.4975
2020-07-13,1.1881
2020-07-14,-1.272
2020-07-15,0.2973
2020-07-17,-0.6917
2020-07-20,-0.398
2020-07-21,0.3636
2020-07-22,-0.4768
2020-07-23,2.5154
2020-07-24,-0.641
2020-07-27,-0.4487
2020-07-28,0.6056
2020-07-29,-0.098
2020-07-30,-1.8646
2020-07-31,0.5
