ticker,GLBR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-12-02,6.0714
2010-12-03,1.0101
2010-12-06,-0.3333
2010-12-07,-3.01
2010-12-08,-2.3448
2010-12-09,-2.8955
2010-12-10,-5.4545
2010-12-13,0.7692
2010-12-14,0.0
2010-12-15,-3.0534
2010-12-16,0.6299
2010-12-17,-1.0172
2010-12-20,-3.4783
2010-12-21,4.4226
2010-12-22,0.1569
2010-12-23,1.018
2010-12-27,-0.4651
2010-12-28,4.9844
2010-12-29,-0.5193
2010-12-30,-0.8949
2010-12-31,-0.301
2011-01-03,-0.6792
2011-01-04,-1.2158
2011-01-05,2.3077
2011-01-06,0.6767
2011-01-07,0.3734
2011-01-10,0.2232
2011-01-11,4.0831
2011-01-12,2.7817
2011-01-13,2.0125
2011-01-14,-0.3401
2011-01-18,-0.6143
2011-01-19,-1.7856999999999998
2011-01-20,-3.7762000000000002
2011-01-21,-2.7616
2011-01-24,0.1495
2011-01-25,0.5224
2011-01-26,-1.1878
2011-01-27,-0.6011
2011-01-28,0.3779
2011-01-31,2.1837
2011-02-01,3.832
2011-02-02,-0.3549
2011-02-03,-0.5698
2011-02-04,-0.2149
2011-02-07,-0.0718
2011-02-08,0.431
2011-02-09,-0.1431
2011-02-10,-3.5817
2011-02-11,-3.6404
2011-02-14,1.0794
2011-02-15,4.5004
2011-02-16,-12.0438
2011-02-17,1.7427000000000001
2011-02-18,-1.876
2011-02-22,-0.9144
2011-02-23,-3.8590999999999998
2011-02-24,0.7853
2011-02-25,-0.2597
2011-02-28,-1.2153
2011-03-01,1.1424
2011-03-02,10.0782
2011-03-03,2.5257
2011-03-04,0.3849
2011-03-07,-0.9969
2011-03-08,-0.4648
2011-03-09,-0.0778
2011-03-10,-2.1028000000000002
2011-03-11,0.3978
2011-03-14,-0.317
2011-03-15,-3.8156
2011-03-16,0.1653
2011-03-17,-2.7228
2011-03-18,5.3435
2011-03-21,1.5298
2011-03-22,-1.9033
2011-03-23,-1.2126000000000001
2011-03-24,-1.3158
2011-03-25,-1.3333
2011-03-28,-1.9426
2011-03-29,7.6658
2011-03-30,0.8
2011-03-31,3.4127
2011-04-01,4.221
2011-04-04,0.3682
2011-04-05,-0.9538
2011-04-06,3.9259
2011-04-07,-3.7063
2011-04-08,-1.5544
2011-04-11,0.0
2011-04-12,1.0526
2011-04-13,-0.5208
2011-04-14,0.374
2011-04-15,-0.8942
2011-04-18,0.6767
2011-04-19,-0.8215
2011-04-20,1.8824999999999998
