ticker,JJSF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,1.2195
2000-01-04,-8.4337
2000-01-05,5.9211
2000-01-06,0.3106
2000-01-07,0.3096
2000-01-10,-3.3951000000000002
2000-01-11,0.0
2000-01-12,-2.2364
2000-01-13,0.0
2000-01-14,0.0
2000-01-18,0.0
2000-01-19,1.634
2000-01-20,0.3215
2000-01-21,-1.8429
2000-01-24,-1.3878
2000-01-25,-1.9868000000000001
2000-01-26,0.6757
2000-01-27,3.0201
2000-01-28,-0.3257
2000-01-31,0.0
2000-02-01,0.0
2000-02-02,-3.268
2000-02-03,0.0
2000-02-04,1.6892
2000-02-07,-2.3256
2000-02-08,-1.7006999999999999
2000-02-09,1.6436
2000-02-10,-2.6383
2000-02-11,-4.8951
2000-02-14,1.4706000000000001
2000-02-15,-0.7246
2000-02-16,0.0
2000-02-17,0.0
2000-02-18,0.7299
2000-02-22,2.8986
2000-02-23,-1.7606000000000002
2000-02-24,-1.0753
2000-02-25,0.0
2000-02-28,0.0
2000-02-29,6.8841
2000-03-01,-3.7288
2000-03-02,5.6338
2000-03-03,0.6667
2000-03-06,2.3179
2000-03-07,1.6181
2000-03-08,-0.3185
2000-03-09,0.9585
2000-03-10,-2.2152
2000-03-13,1.2945
2000-03-14,-10.2236
2000-03-15,2.1352
2000-03-16,-2.439
2000-03-17,3.5714
2000-03-20,0.0
2000-03-21,8.9655
2000-03-22,3.7975
2000-03-23,-3.6585
2000-03-24,-3.7975
2000-03-27,0.6579
2000-03-28,1.3072
2000-03-29,-1.9355
2000-03-30,2.3026
2000-03-31,2.2508
2000-04-03,-2.8302
2000-04-04,-1.6181
2000-04-05,-5.2632
2000-04-06,5.2083
2000-04-07,-2.6403
2000-04-10,3.0508
2000-04-11,0.0
2000-04-12,-3.6184
2000-04-13,0.3413
2000-04-14,-10.2041
2000-04-17,-1.1364
2000-04-18,-1.9157
2000-04-19,0.0
2000-04-20,-0.7813
2000-04-24,0.3937
2000-04-25,-2.7451
2000-04-26,2.0161
2000-04-27,-1.581
2000-04-28,2.4096
2000-05-01,-0.7843
2000-05-02,0.7905
2000-05-03,-1.1764999999999999
2000-05-04,0.7937
2000-05-05,1.9685000000000001
2000-05-08,0.3861
2000-05-09,0.7692
2000-05-10,-3.4351
2000-05-11,0.0
2000-05-12,1.1858
2000-05-15,-3.9063
2000-05-16,0.813
2000-05-17,-1.6129
2000-05-18,0.8197
2000-05-19,-1.626
2000-05-22,-1.6529
2000-05-23,0.0
