ticker,LRDR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-10-18,33.3333
2012-11-06,6150.0
2012-11-07,20.0
2012-11-08,16.6667
2012-11-09,11.4286
2012-11-12,12.8205
2012-11-13,4.5455
2012-11-14,17.3913
2012-11-15,-14.8148
2012-11-19,-3.2609
2012-11-20,-1.1236
2012-11-21,13.6364
2012-11-23,-10.0
2012-11-27,11.1111
2012-11-28,-20.0
2012-11-29,11.25
2012-12-04,-14.6067
2012-12-05,0.0
2012-12-06,-7.8947
2012-12-11,0.0
2012-12-14,-2.8571
2012-12-24,3.6212999999999997
2012-12-31,-3.4948
2013-01-03,-11.7647
2013-01-04,0.0
2013-01-09,0.0
2013-01-10,0.0
2013-01-14,3.3333
2013-01-16,0.0
2013-01-18,12.9032
2013-01-25,14.2857
2013-01-29,-2.5
2013-02-05,0.0
2013-02-07,0.0
2013-02-14,2.5641
2013-02-26,0.0
2013-02-27,0.0
2013-03-06,0.0
2013-03-07,35.0
2013-03-08,-5.5556
2013-03-11,-3.9215999999999998
2013-03-13,0.0
2013-03-14,12.2449
2013-03-15,0.0
2013-03-18,9.0909
2013-03-19,-8.3333
2013-03-20,9.0909
2013-03-22,1.6667
2013-04-01,37.7049
2013-04-02,0.0
2013-04-03,-27.381
2013-04-04,-9.8361
2013-04-05,52.7273
2013-04-12,-10.7143
2013-04-19,-2.6833
2013-04-22,-24.6446
2013-04-23,-41.8182
2013-04-24,3.125
2013-04-25,-10.6061
2013-04-26,11.8644
2013-04-29,0.0
2013-04-30,4.5455
2013-05-01,4.3478
2013-05-02,-16.6667
2013-05-03,5.0
2013-05-06,-6.3492
2013-05-07,-15.2542
2013-05-08,6.0
2013-05-09,-35.8491
2013-05-10,-4.7059
2013-05-13,8.0247
2013-05-14,8.5714
2013-05-16,-21.0526
2013-05-17,-9.4167
2013-05-20,3.0359
2013-05-22,-20.7143
2013-05-23,46.8468
2013-05-24,-1.8405
2013-05-30,18.75
2013-05-31,-51.0526
2013-06-03,18.2796
2013-06-04,-27.2727
2013-06-05,31.25
2013-06-06,-4.7619
2013-06-07,0.0
2013-06-10,-12.0
2013-06-11,-14.7727
2013-06-12,20.0
2013-06-13,1.4583
2013-06-14,9.514
2013-06-17,2.0
2013-06-20,-31.3725
2013-06-21,35.7143
2013-06-24,-26.3158
2013-06-25,35.7143
2013-06-26,0.0
2013-07-05,-78.9474
2013-07-08,400.0
2013-07-09,0.0
2013-07-11,-50.0
2013-07-15,-60.0
2013-07-16,25.0
