ticker,GTYH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-12-16,0.0
2016-12-20,8.5714
2016-12-21,-11.0708
2016-12-22,2.0408
2016-12-23,20.0
2016-12-27,-11.25
2016-12-28,0.939
2017-01-03,-8.564
2017-01-10,1.7359
2017-01-11,-2.0
2017-01-17,0.0
2017-02-02,0.5612
2017-02-09,0.4566
2017-03-07,0.0
2017-03-13,4.5455
2017-03-20,-4.3478
2017-03-21,0.202
2017-03-30,0.0
2017-03-31,1.2248
2017-04-06,-0.9112
2017-04-07,0.0
2017-04-11,-0.049
2017-04-12,0.049
2017-04-17,0.0
2017-04-20,0.0
2017-04-28,-0.5025
2017-05-01,-0.8081
2017-05-02,0.8147
2017-05-03,-0.0688
2017-05-04,-0.3355
2017-05-10,0.9128
2017-05-11,-0.5025
2017-05-12,5.9596
2017-05-16,-5.7197
2017-05-17,0.0019
2017-05-23,0.0992
2017-05-24,0.0
2017-05-25,0.404
2017-05-26,0.1006
2017-05-30,-0.1005
2017-06-01,0.2012
2017-06-02,0.3012
2017-06-05,-0.4004
2017-06-13,0.7035
2017-06-16,2.2954
2017-06-22,-0.9756
2017-06-23,-0.4926
2017-06-29,0.198
2017-06-30,-0.1976
2017-07-05,0.9901
2017-07-11,-1.3725
2017-07-13,-0.497
2017-07-14,-0.0999
2017-07-17,0.0
2017-07-18,0.0
2017-07-21,1.5
2017-07-25,-0.9852
2017-07-27,-0.4975
2017-07-28,0.0
2017-07-31,0.0
2017-08-01,1.5
2017-08-02,-1.4778
2017-08-03,0.3
2017-08-04,-0.2991
2017-08-07,0.4
2017-08-08,0.0996
2017-08-09,-0.2985
2017-08-10,-0.0938
2017-08-11,-0.3057
2017-08-14,0.2004
2017-08-15,0.0
2017-08-17,0.2
2017-08-22,-0.1218
2017-08-29,-0.2778
2017-09-01,1.002
2017-09-07,-0.6944
2017-09-08,-0.0999
2017-09-11,0.0
2017-09-18,0.3
2017-09-20,-0.2991
2017-09-21,-0.2
2017-09-27,0.7856
2017-10-02,-0.7794
2017-10-03,0.0
2017-10-04,0.2004
2017-10-06,-0.2
2017-10-09,0.6012
2017-10-10,-0.0996
2017-10-11,-0.4985
2017-10-12,0.2004
2017-10-13,-0.4
2017-10-16,0.0
2017-10-18,0.4016
2017-10-20,0.0
2017-10-23,-0.2
2017-10-24,-0.1002
2017-10-25,-0.1003
2017-10-26,-0.1004
2017-10-27,0.0
2017-10-31,0.402
2017-11-01,0.3003
2017-11-02,0.6986
2017-11-07,-0.0991
