ticker,NACB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-05-13,-7.1207
2003-05-20,56.0
2003-05-30,-8.7003
2006-08-18,2.1189999999999998
2007-06-29,18.8323
2008-04-11,-20.0426
2008-12-22,4.5953
2009-01-22,-15.3005
2009-01-26,29.6774
2009-01-27,-20.398
2009-04-16,-2.097
2009-06-24,2.4002
2009-07-08,9.5541
2009-07-09,0.0
2009-09-03,17.426
2009-09-04,0.0
2009-09-10,-12.5
2009-09-14,0.5714
2009-10-19,-0.5682
2009-12-09,21.1429
2010-03-23,3.5276
2010-04-23,11.1111
2010-05-11,0.4167
2010-10-11,-10.7894
2010-10-21,-2.5282999999999998
2010-10-27,-0.0678
2010-11-02,0.0
2010-11-03,1.6949
2011-01-12,-8.6742
2011-01-13,18.2654
2011-01-20,-8.8444
2011-01-24,5.373
2011-03-28,11.9194
2011-04-28,-10.4167
2011-05-02,2.3256
2011-06-01,-7.4753
2011-06-02,7.4257
2011-10-19,-1.5419
2011-10-31,-0.9434
2012-01-23,0.8065
2012-02-27,4.7857
2012-05-25,15.2348
2012-06-21,10.1322
2012-07-13,1.6364
2012-11-29,-5.763
2013-02-22,6.2597
2013-03-01,82.8154
2013-05-24,-47.0
2013-06-14,4.3643
2013-06-25,0.0
2013-06-26,0.0
2013-07-09,-1.0909
2013-08-19,2.9412000000000003
2013-10-02,-0.8977
2014-03-07,5.6466
2014-04-17,0.5199
2014-04-21,0.6897
2014-05-22,0.0
2014-08-11,-0.1721
2014-08-12,0.6897
2014-11-07,0.5164
2014-11-26,2.0548
2015-03-13,1.3559
2015-03-17,0.0
2015-05-07,-0.3344
2015-05-22,-1.6779
2015-05-27,-6.1433
2015-05-28,0.0
2015-06-02,-19.6364
2015-06-03,-5.7285
2015-06-04,-3.5231
2015-06-05,-5.4726
2015-06-08,-25.2632
2015-06-09,33.8028
2015-07-16,-28.0263
2015-07-22,6.0329
2015-07-31,-13.7931
2015-08-03,0.0
2015-08-14,-10.4
2015-08-17,0.0
2015-09-23,20.5357
2015-09-30,-1.4815
2015-10-01,1.5038
2015-10-06,3.7037
2015-10-07,0.0
2015-11-02,-3.5714
2015-11-09,-16.1111
2015-11-10,1.766
2015-12-21,34.4902
2016-01-04,12.9032
2016-02-09,-17.1429
2016-02-17,10.3448
2016-02-23,9.4
2016-03-16,-22.8748
2016-03-31,0.0
2016-04-06,11.1111
2016-04-22,0.0
2016-04-29,0.8333
2016-05-11,4.4628
2016-05-23,-4.2089
2016-06-03,0.4295
