ticker,IONAF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-08-05,-8.9528
2011-08-09,-1.7852000000000001
2011-08-17,-1.3111
2011-09-20,-8.2126
2011-10-05,-8.5526
2011-10-07,13.6691
2011-10-13,1.2658
2011-10-14,-2.5
2011-10-17,-1.6667
2011-10-18,-1.1734
2011-10-20,2.1108
2011-10-21,1.292
2011-10-26,1.4031
2011-10-27,-3.6478
2011-10-28,-1.5666
2011-11-14,8.7533
2011-11-15,-5.0762
2011-11-28,-8.3989
2011-11-29,0.7013
2011-12-19,-13.3705
2011-12-28,6.1093
2011-12-29,0.1515
2012-01-05,16.5469
2012-01-09,-0.5192
2012-01-11,-2.0062
2012-01-12,0.6658
2012-01-18,4.8942
2012-01-20,-2.191
2012-01-23,3.0137
2012-01-24,-0.1252
2012-01-25,-2.7569
2012-01-26,3.6082
2012-01-27,-1.1194
2012-01-30,0.8805
2012-01-31,2.0729
2012-02-01,0.4123
2012-02-02,16.2561
2012-02-03,5.7946
2012-02-06,0.3215
2012-02-07,-1.5036
2012-02-08,16.016
2012-02-10,-1.3805
2012-02-13,-1.028
2012-02-14,-3.4696
2012-02-15,-3.6630000000000003
2012-02-16,0.1901
2012-02-17,1.9331
2012-02-21,1.8266
2012-02-22,7.0384
2012-02-23,-5.38
2012-02-24,3.5199
2012-02-27,5.231
2012-02-28,-1.4913
2012-02-29,-3.9529
2012-03-01,0.0876
2012-03-02,-0.35
2012-03-05,-1.9315
2012-03-06,-8.2363
2012-03-07,2.0488
2012-03-08,-1.3384
2012-03-09,-1.6473
2012-03-12,1.5764
2012-03-13,-0.8729
2012-03-14,1.4677
2012-03-15,-0.2893
2012-03-20,-2.6353999999999997
2012-03-22,-1.1671
2012-03-26,3.8191
2012-03-27,0.484
2012-03-28,-5.2023
2012-03-29,4.878
2012-03-30,8.1395
2012-04-02,7.6165
2012-04-03,-1.5819999999999999
2012-04-04,-7.8151
2012-04-05,5.8162
2012-04-10,-8.7598
2012-04-11,4.6578
2012-04-12,6.812
2012-04-13,-3.3163
2012-04-19,-5.365
2012-04-20,-2.1375
2012-04-23,-3.9886
2012-04-24,1.088
2012-04-26,0.9785
2012-04-30,8.4302
2012-05-01,-4.8034
2012-05-02,1.9479
2012-05-03,3.3149
2012-05-04,-2.4287
2012-05-07,-3.3569
2012-05-08,-5.9546
2012-05-09,1.407
2012-05-10,-2.8741
2012-05-11,1.7347000000000001
2012-05-14,-4.4132
2012-05-15,-4.4334
2012-05-16,-0.0823
