ticker,KNX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-12-16,0.9091
2010-12-17,-0.4505
2010-12-20,3.4389
2010-12-21,5.9493
2010-12-22,4.1288
2010-12-23,-1.2688
2010-12-27,-0.4819
2010-12-28,-1.937
2010-12-29,0.1646
2010-12-30,1.8899
2010-12-31,0.8871
2011-01-03,-0.0799
2011-01-04,-0.24
2011-01-05,6.8164
2011-01-06,-2.3273
2011-01-07,0.538
2011-01-10,3.5933
2011-01-11,1.2546
2011-01-12,1.1662
2011-01-13,-1.2968
2011-01-14,-2.1898
2011-01-18,1.791
2011-01-19,-1.7595
2011-01-20,-0.8209
2011-01-21,3.8375
2011-01-24,-0.0725
2011-01-25,4.7861
2011-01-26,2.0761
2011-01-27,0.0
2011-01-28,-2.1017
2011-01-31,-1.0388
2011-02-01,2.0294
2011-02-02,-3.7723
2011-02-03,-1.8532
2011-02-04,1.3072
2011-02-07,-0.0717
2011-02-08,-1.363
2011-02-09,-0.4364
2011-02-10,0.6574
2011-02-11,2.7576
2011-02-14,2.6836
2011-02-15,1.238
2011-02-16,1.4266
2011-02-17,1.2726
2011-02-18,-0.9259
2011-02-22,-3.3378
2011-02-23,-2.4171
2011-02-24,-0.92
2011-02-25,2.5714
2011-02-28,0.4178
2011-03-01,-0.8322
2011-03-02,0.2098
2011-03-03,5.0244
2011-03-04,-2.7243
2011-03-07,0.8197
2011-03-08,1.897
2011-03-09,-0.1995
2011-03-10,-4.5303
2011-03-11,3.9777
2011-03-14,0.0
2011-03-15,-0.5369
2011-03-16,-2.6316
2011-03-17,0.3465
2011-03-18,0.0691
2011-03-21,1.7252999999999998
2011-03-22,-0.4749
2011-03-23,0.409
2011-03-24,0.4752
2011-03-25,0.9459
2011-03-28,-2.6774
2011-03-29,-0.8253
2011-03-30,-0.1387
2011-03-31,2.0833
2011-04-01,-1.1565
2011-04-04,2.4776
2011-04-05,0.6716
2011-04-06,0.6004
2011-04-07,-0.0663
2011-04-08,-3.1188
2011-04-11,-2.1233
2011-04-12,-1.7495
2011-04-13,-0.2849
2011-04-14,1.8571
2011-04-15,0.4208
2011-04-18,-0.6983
2011-04-19,2.6723
2011-04-20,0.2055
2011-04-21,-1.2303
2011-04-25,1.3149
2011-04-26,0.5464
2011-04-27,-4.4837
2011-04-28,-1.138
2011-04-29,0.9353
2011-05-02,2.2808
2011-05-03,0.1394
2011-05-04,-2.366
2011-05-05,0.784
2011-05-06,-1.1315
2011-05-09,-1.2876
2011-05-10,0.5797
