ticker,DYFN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-06-26,-1.75
2020-06-29,-0.3053
2020-06-30,2.0929
2020-07-01,0.0
2020-07-02,-0.5
2020-07-06,-0.0503
2020-07-07,0.0
2020-07-08,-0.5028
2020-07-09,0.0505
2020-07-10,-0.0505
2020-07-13,0.0505
2020-07-14,-0.2525
2020-07-15,0.2532
2020-07-16,-0.2525
2020-07-17,0.1519
2020-07-20,-0.3539
2020-07-21,-0.0507
2020-07-22,0.7102
2020-07-23,-0.4556
2020-07-24,-0.2506
2020-07-27,0.5076
2020-07-28,-0.2525
2020-07-29,-0.0506
2020-07-30,0.0507
2020-07-31,0.7595
