ticker,RVNC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-02-06,67.8125
2014-02-07,4.2831
2014-02-10,-3.1429
2014-02-11,-1.9174
2014-02-12,1.2406
2014-02-13,-0.7798
2014-02-14,0.1123
2014-02-18,0.5234
2014-02-19,-2.0082
2014-02-20,-1.7078
2014-02-21,15.2124
2014-02-24,-0.8713
2014-02-25,1.7579
2014-02-26,-1.6611
2014-02-27,1.1486
2014-02-28,-10.0534
2014-03-03,3.1563
2014-03-04,3.3477
2014-03-05,10.101
2014-03-06,3.5115
2014-03-07,4.9817
2014-03-10,1.4556
2014-03-11,1.1764999999999999
2014-03-12,10.3233
2014-03-13,-0.9769
2014-03-14,-1.9729999999999999
2014-03-17,-1.6419000000000001
2014-03-18,0.9155
2014-03-19,-0.4536
2014-03-20,-1.0721
2014-03-21,-3.6574999999999998
2014-03-24,-5.2306
2014-03-25,-8.3976
2014-03-26,-0.162
2014-03-27,-3.5366999999999997
2014-03-28,2.3209
2014-03-31,3.5503
2014-04-01,-0.8254
2014-04-02,2.7849
2014-04-03,-2.3045999999999998
2014-04-04,-4.9091000000000005
2014-04-07,-2.7824
2014-04-08,-0.2414
2014-04-09,2.3505
2014-04-10,-2.7356
2014-04-11,-2.4306
2014-04-14,-3.6299
2014-04-15,-3.3973
2014-04-16,2.7904999999999998
2014-04-17,5.1692
2014-04-21,1.2023
2014-04-22,25.7512
2014-04-23,1.0836
2014-04-24,-1.5118
2014-04-25,-4.1864
2014-04-28,-0.1748
2014-04-29,2.7429
2014-04-30,-2.6413
2014-05-01,-0.3501
2014-05-02,-3.8349
2014-05-05,-0.8219
2014-05-06,-3.2228
2014-05-07,-0.3806
2014-05-08,-5.1576
2014-05-09,1.6448
2014-05-12,2.7081
2014-05-13,-0.2894
2014-05-14,2.87
2014-05-15,-0.4389
2014-05-16,0.1259
2014-05-19,1.3208
2014-05-20,-2.5140000000000002
2014-05-21,0.4457
2014-05-22,1.046
2014-05-23,0.2823
2014-05-27,0.6256
2014-05-28,-0.5906
2014-05-29,0.6879
2014-05-30,-2.205
2014-06-02,-4.3187999999999995
2014-06-03,-0.0664
2014-06-04,-1.8266
2014-06-05,1.7930000000000001
2014-06-06,0.8308
2014-06-09,-5.5702
2014-06-10,7.2077
2014-06-11,-1.0581
2014-06-12,-1.1846
2014-06-13,-0.0666
2014-06-16,-1.2328999999999999
2014-06-17,1.2146
2014-06-18,5.2
2014-06-19,0.6654
2014-06-20,2.2348
2014-06-23,1.3855
