ticker,JADG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-05-08,-25.0
2013-09-17,-8.6667
2013-09-18,9.4891
2013-09-19,1.3333
2013-09-20,7.8947
2013-09-23,-54.878
2013-09-24,-12.1622
2013-09-25,-5.3846
2013-09-26,-31.7073
2013-09-27,4.7619
2013-09-30,-10.2273
2013-10-01,24.0506
2013-10-02,-14.2857
2013-10-03,14.2857
2013-10-04,25.1042
2013-10-07,11.5737
2013-10-08,1.4925
2013-10-09,5.8824
2013-10-10,1.3889
2013-10-11,0.6849
2013-10-14,7.483
2013-10-15,6.3291
2013-10-16,1.1905000000000001
2013-10-17,0.0
2013-10-18,0.5882
2013-10-21,-16.9591
2013-10-22,2.8169
2013-10-23,2.7397
2013-10-24,9.3333
2013-10-25,-5.2439
2013-10-28,-4.7619
2013-10-29,-5.4054
2013-10-30,-2.8571
2013-10-31,-5.8824
2013-11-01,-14.0625
2013-11-04,1.8182
2013-11-05,-3.5714
2013-11-06,28.7037
2013-11-07,-3.5971
2013-11-08,5.9515
2013-11-11,-7.0259
2013-11-12,-1.5152
2013-11-13,-0.0192
2013-11-14,6.1743
2013-11-15,-0.8696
2013-11-19,-1.3158
2013-11-20,-24.4444
2013-11-21,1.9607999999999999
2013-11-22,0.0
2013-11-25,0.0
2013-11-26,5.7692
2013-11-27,1.8182
2013-11-29,10.7143
2013-12-02,-11.2903
2013-12-03,0.0
2013-12-04,0.0
2013-12-05,0.0
2013-12-06,3.6364
2013-12-09,-7.0175
2013-12-10,9.434
2013-12-11,-1.7241
2013-12-12,0.0
2013-12-16,-10.526299999999999
2013-12-17,1.9607999999999999
2013-12-18,0.0
2013-12-19,-5.7692
2013-12-20,-4.0816
2013-12-23,-22.3404
2013-12-24,42.4658
2013-12-26,-29.8077
2013-12-27,20.5479
2013-12-30,-18.1818
2013-12-31,-16.6667
2014-01-02,6.6667
2014-01-06,-37.5
2014-01-07,-25.0
2014-01-08,33.3333
2014-01-09,5.0
2014-01-10,19.0476
2014-01-13,8.0
2014-01-15,0.0
2014-01-17,44.4444
2014-01-21,0.0
2014-01-22,-10.2564
2014-01-27,-14.2857
2014-01-28,10.0
2014-01-29,-12.1212
2014-01-30,-10.3448
2014-01-31,6.5385
2014-02-03,0.0
2014-02-04,2.1661
2014-02-05,-21.9081
2014-02-06,26.6968
2014-02-07,1.7856999999999998
2014-02-10,1.7544
2014-02-11,-6.8966
2014-02-12,7.3611
2014-02-13,-13.6912
2014-02-14,-14.0145
