ticker,CATI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-10-20,7.3333
2014-10-21,8.6957
2014-11-04,7.1429
2014-12-15,6.6667
2014-12-16,0.0
2015-01-12,-20.0
2015-01-13,-5.8594
2015-01-16,4.1494
2015-01-26,-4.3825
2015-02-05,0.0
2015-03-24,8.3333
2015-04-01,-3.8462
2015-06-15,-4.0
2015-07-14,0.0
2015-07-21,-33.3333
2015-07-22,-12.5
2015-12-31,-17.8571
2016-01-27,-7.4783
2016-04-07,-6.015
2016-04-08,0.0
2016-08-22,0.0
2016-11-02,0.0
2018-10-09,-40.0
2018-12-18,66.6667
2019-01-10,20.0
2019-01-18,-1.0
2019-02-28,68.3502
2019-03-01,50.0
2019-03-04,0.0
2019-03-21,-40.0
2019-04-02,22.2222
2019-04-24,-54.5455
2019-04-26,0.0
2019-05-01,-20.0
2019-06-03,0.0
2019-10-01,-25.0
2019-10-18,66.6667
2019-10-22,-6.4
2019-10-28,-45.5128
2019-10-29,17.647100000000002
2019-11-12,66.6667
2019-12-18,-54.0
2019-12-30,116.9565
