ticker,LVRLF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-07-22,11.818200000000001
2005-09-30,6.5041
2005-10-12,0.0
2005-11-29,0.0
2005-11-30,-46.5649
2005-12-21,28.5714
2006-01-20,46.6667
2006-01-23,0.0
2006-02-24,-39.3939
2006-03-06,-50.0
2006-03-07,0.0
2006-03-08,275.0
2006-03-10,34.6667
2006-03-13,-8.9109
2006-03-14,-4.8913
2006-03-17,14.2857
2006-03-22,-15.0
2006-04-13,18.8235
2006-04-17,-15.8416
2006-04-18,29.4118
2006-04-19,3.6364
2006-04-20,3.5088
2006-04-21,-6.7797
2006-04-24,4.5455
2006-04-25,9.5652
2006-04-26,7.1429
2006-04-27,-3.7037
2006-04-28,7.6923
2006-05-01,0.0
2006-05-02,9.2857
2006-05-03,7.8431
2006-05-04,4.8485
2006-05-05,-0.578
2006-05-08,5.814
2006-05-09,6.5934
2006-05-10,2.0619
2006-05-11,3.5354
2006-05-12,4.878
2006-05-15,0.0
2006-05-16,6.0465
2006-05-17,-5.7018
2006-05-18,-13.9535
2006-05-19,8.1081
2006-05-23,0.0
2006-05-25,7.5
2006-05-30,-13.9535
2006-06-02,3.7838000000000003
2006-06-08,-1.0417
2006-06-09,-7.8947
2006-06-13,-14.2857
2006-06-14,0.0
2006-06-21,0.0
2006-06-22,0.0
2006-06-26,6.6667
2006-06-28,3.75
2006-06-29,-3.6145
2006-06-30,-12.5
2006-07-03,17.8571
2006-07-05,3.0303
2006-07-06,-2.9412000000000003
2006-07-11,-0.6061
2006-07-12,-20.122
2006-07-13,10.687
2006-07-17,-18.6207
2006-07-18,5.9322
2006-07-19,-8.0
2006-07-21,0.0
2006-07-24,-8.6957
2006-07-25,4.7619
2006-07-31,-8.1818
2006-08-04,0.0
2006-08-08,3.9604
2006-08-10,-3.8095
2006-08-15,0.9901
2006-08-16,-9.8039
2006-08-23,-2.1739
2006-09-05,-5.5556
2006-09-06,-3.5294
2006-09-08,4.878
2006-09-12,-6.9767
2006-09-13,-8.75
2006-09-14,-10.9589
2006-09-18,-12.3077
2006-09-19,-1.7544
2006-09-20,0.0
2006-09-25,-46.4286
2006-09-28,26.6667
2006-09-29,18.4211
2006-10-02,-11.1111
2006-10-03,-7.5
2006-10-06,10.8108
2006-10-11,-34.1463
2006-10-13,85.1852
2006-10-16,-30.0
2006-10-17,0.0
2006-10-24,-14.2857
2006-10-25,-16.6667
2006-10-26,0.0
2006-11-14,-20.0
2006-11-15,10.0
2006-11-21,0.0
