ticker,XCPL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-06-18,-80.0
2008-06-19,-70.0
2008-06-20,16.6667
2008-06-23,0.0
2008-06-24,-31.4286
2008-06-25,29.1667
2008-06-26,-19.3548
2008-06-27,-20.0
2008-06-30,0.0
2008-07-01,0.0
2008-07-02,0.0
2008-07-03,0.0
2008-07-08,50.0
2008-07-09,100.0
2008-07-10,0.0
2008-07-14,-58.3333
2008-07-15,100.0
2008-07-16,0.0
2008-07-18,0.0
2008-07-21,0.0
2008-07-23,-50.0
2008-07-24,0.0
2008-07-25,0.0
2008-07-28,-16.0
2008-07-29,-4.7619
2008-07-30,50.0
2008-08-04,-49.5833
2008-08-05,5.7851
2008-08-06,87.5
2008-08-07,16.6667
2008-08-11,0.0
2008-08-12,28.5714
2008-08-13,111.1111
2008-08-14,26.3158
2008-08-15,-16.6667
2008-08-18,-20.0
2008-08-19,-25.0
2008-08-20,-31.6667
2008-08-21,56.0976
2008-08-22,1.5625
2008-08-27,7.6923
2008-08-28,7.1429
2008-09-02,-25.3333
2008-09-03,-28.5714
2008-09-05,7.9688
2008-09-08,108.3936
2008-09-09,0.0
2008-09-10,11.1111
2008-09-11,10.0
2008-09-12,27.2727
2008-09-15,64.2857
2008-09-16,-4.3478
2008-09-17,4.5455
2008-09-18,0.0
2008-09-19,4.3478
2008-09-22,0.0
2008-09-23,-10.4167
2008-09-24,-2.3256
2008-09-26,-4.7619
2008-09-29,0.0
2008-09-30,0.0
2008-10-01,0.0
2008-10-02,15.0
2008-10-03,17.3913
2008-10-06,0.0
2008-10-07,0.0
2008-10-08,0.0
2008-10-09,40.7407
2008-10-10,-2.6316
2008-10-15,-5.4054
2008-10-16,0.0
2008-10-17,-2.8571
2008-10-20,0.0
2008-10-21,0.0
2008-10-22,-2.9412000000000003
2008-10-23,0.0
2008-10-27,-21.2121
2008-10-28,-23.0769
2008-10-29,5.0
2008-10-30,33.3333
2008-10-31,3.5714
2008-11-03,-13.7931
2008-11-04,-24.0
2008-11-05,0.0
2008-11-06,10.526299999999999
2008-11-07,-7.1429
2008-11-10,2.5641
2008-11-11,40.0
2008-11-12,-39.2857
2008-11-13,-23.5294
2008-11-14,84.6154
2008-11-17,4.1667
2008-11-18,40.0
2008-11-19,-20.0
2008-11-20,-10.7143
2008-11-21,-40.0
2008-11-24,0.0
2008-11-25,-6.6667
2008-11-26,-35.7143
2008-11-28,5.5556
2008-12-01,26.3158
2008-12-02,8.3333
2008-12-03,-23.0769
