ticker,AXSM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-11-19,-2.8889
2015-11-20,3.7757
2015-11-23,-0.1103
2015-11-24,1.5453000000000001
2015-11-25,-4.1304
2015-11-27,4.195
2015-11-30,-3.9173
2015-12-01,-1.1325
2015-12-02,0.6873
2015-12-03,-2.1615
2015-12-04,0.0
2015-12-07,-0.5814
2015-12-08,1.6374
2015-12-09,-0.2301
2015-12-10,-1.0381
2015-12-11,-1.5152
2015-12-14,-2.3654
2015-12-15,1.2106
2015-12-16,-0.8024
2015-12-17,2.6183
2015-12-18,7.178
2015-12-21,-0.66
2015-12-22,1.1064
2015-12-23,-1.9672
2015-12-24,-3.3445
2015-12-28,0.5767
2015-12-29,5.6193
2015-12-30,-0.1099
2015-12-31,0.7622
2016-01-04,31.4995
2016-01-05,22.8876
2016-01-06,-3.4045
2016-01-07,-13.9599
2016-01-08,-4.739
2016-01-11,0.9275
2016-01-12,-0.6683
2016-01-13,-14.0454
2016-01-14,3.9139
2016-01-15,22.4105
2016-01-19,-5.0
2016-01-20,-1.5385
2016-01-21,0.7401
2016-01-22,1.7959
2016-01-25,-8.9816
2016-01-26,2.1145
2016-01-27,-17.4288
2016-01-28,-5.6426
2016-01-29,-13.289
2016-02-01,-1.5326
2016-02-02,-4.8979
2016-02-03,-0.1688
2016-02-04,0.6831
2016-02-05,-2.171
2016-02-08,-25.5201
2016-02-09,17.3184
2016-02-10,10.1587
2016-02-11,-1.2968
2016-02-12,16.7883
2016-02-16,3.125
2016-02-17,-0.4848
2016-02-18,2.1924
2016-02-19,3.0989
2016-02-22,0.0
2016-02-23,0.0
2016-02-24,-3.1214
2016-02-25,-5.8473
2016-02-26,6.4639
2016-02-29,-7.5
2016-03-01,5.2767
2016-03-02,3.1785
2016-03-03,-1.6588
2016-03-04,-14.4578
2016-03-07,2.1127
2016-03-08,-3.7241
2016-03-09,0.5731
2016-03-10,-0.7123
2016-03-11,2.439
2016-03-14,35.1541
2016-03-15,5.6995000000000005
2016-03-16,5.3922
2016-03-17,-16.5581
2016-03-18,-4.7938
2016-03-21,1.8735
2016-03-22,1.8391
2016-03-23,2.2573
2016-03-24,-6.1796
2016-03-28,-4.1191
2016-03-29,-3.681
2016-03-30,10.828
2016-03-31,-1.1494
2016-04-01,4.0698
2016-04-04,3.7989
2016-04-05,0.1076
2016-04-06,2.3656
2016-04-07,3.6765
2016-04-08,2.9382
2016-04-11,-8.1693
2016-04-12,1.0718
2016-04-13,3.8176
