ticker,OPTN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-10-13,18.75
2017-10-16,3.2105
2017-10-17,-1.9888
2017-10-18,-0.4162
2017-10-19,-0.7315
2017-10-20,0.0526
2017-10-23,0.1578
2017-10-24,0.3151
2017-10-25,4.2408
2017-10-26,0.4018
2017-10-27,1.5508
2017-10-30,-1.4285999999999999
2017-10-31,0.7496
2017-11-01,-2.2321
2017-11-02,0.9132
2017-11-03,0.9553
2017-11-06,3.3865
2017-11-07,-8.3815
2017-11-08,-0.1052
2017-11-09,-8.7368
2017-11-10,-0.1153
2017-11-13,-2.7136
2017-11-14,-9.792300000000001
2017-11-15,6.0526
2017-11-16,-1.1787
2017-11-17,-1.1299
2017-11-20,5.2698
2017-11-21,1.6284999999999998
2017-11-22,9.5549
2017-11-24,8.4507
2017-11-27,-3.996
2017-11-28,-1.821
2017-11-29,0.265
2017-11-30,0.8985
2017-12-01,-2.9335
2017-12-04,2.4285
2017-12-05,-1.3172
2017-12-06,-0.6941
2017-12-07,-3.6022
2017-12-08,1.1712
2017-12-11,4.6858
2017-12-12,-10.4792
2017-12-13,9.7647
2017-12-14,0.8039
2017-12-15,0.7443
2017-12-18,2.8496
2017-12-19,-1.4879
2017-12-20,1.0417
2017-12-21,2.5258000000000003
2017-12-22,-0.6536
2017-12-26,-0.7591
2017-12-27,-1.3768
2017-12-28,0.8273
2017-12-29,-3.0769
2018-01-02,0.8995
2018-01-03,-2.3597
2018-01-04,-6.4447
2018-01-05,-1.2629000000000001
2018-01-08,2.7907
2018-01-09,1.9231
2018-01-10,3.1632
2018-01-11,5.8096
2018-01-12,1.0168
2018-01-16,-2.5667
2018-01-17,-1.343
2018-01-18,0.2618
2018-01-19,0.5222
2018-01-22,0.1039
2018-01-23,0.0
2018-01-24,2.0239
2018-01-25,-1.5768
2018-01-26,3.2558
2018-01-29,4.2042
2018-01-30,-5.3314
2018-01-31,-3.8559
2018-02-01,-1.1082
2018-02-02,-1.7609
2018-02-05,-2.39
2018-02-06,0.1669
2018-02-07,2.2778
2018-02-08,0.163
2018-02-09,-6.3991
2018-02-12,0.5214
2018-02-13,-2.5937
2018-02-14,-1.1834
2018-02-15,-1.6766
2018-02-16,-1.2789
2018-02-20,-1.8507
2018-02-21,12.3193
2018-02-22,-1.5669
2018-02-23,-1.5918
2018-02-26,0.5777
2018-02-27,0.8041
2018-02-28,0.9117
2018-03-01,-1.0728
2018-03-02,1.9405999999999999
2018-03-05,0.056
2018-03-06,0.0
