ticker,CVEO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-05-20,-2.807
2014-05-21,-1.3538000000000001
2014-05-22,0.4575
2014-05-23,0.0
2014-05-27,0.2732
2014-05-28,1.7711000000000001
2014-05-29,2.1419
2014-05-30,0.7427
2014-06-02,0.8239
2014-06-03,-0.6452
2014-06-04,-1.1255
2014-06-05,-0.7443
2014-06-06,0.3529
2014-06-09,0.9231
2014-06-10,3.0052
2014-06-11,5.074
2014-06-12,3.7022
2014-06-13,4.9282
2014-06-16,3.5503
2014-06-17,-4.3214
2014-06-18,-1.4184
2014-06-19,-2.2719
2014-06-20,-2.1697
2014-06-23,0.7129
2014-06-24,-0.9044
2014-06-25,0.1587
2014-06-26,0.832
2014-06-27,2.2004
2014-06-30,-3.7678000000000003
2014-07-01,3.7155
2014-07-02,2.2727
2014-07-03,2.3352
2014-07-07,-0.4417
2014-07-08,0.0
2014-07-09,1.4787
2014-07-10,-2.878
2014-07-11,0.6377
2014-07-14,-0.7454
2014-07-15,0.2253
2014-07-16,-1.4987
2014-07-17,-3.5375
2014-07-18,1.459
2014-07-21,-1.0493999999999999
2014-07-22,0.2357
2014-07-23,0.2743
2014-07-24,-0.8206
2014-07-25,-0.2758
2014-07-28,3.5164
2014-07-29,-0.8779
2014-07-30,0.308
2014-07-31,-2.4952
2014-08-01,0.7874
2014-08-04,0.3516
2014-08-05,-1.2845
2014-08-06,-3.194
2014-08-07,1.6293
2014-08-08,1.6032
2014-08-11,0.5523
2014-08-12,-1.6477
2014-08-13,3.2708
2014-08-14,-4.8913
2014-08-15,0.0816
2014-08-18,1.876
2014-08-19,-0.5204
2014-08-20,-0.2012
2014-08-21,2.6612999999999998
2014-08-22,-1.414
2014-08-25,-0.4382
2014-08-26,0.12
2014-08-27,-0.04
2014-08-28,0.8397
2014-08-29,0.7534
2014-09-02,0.3148
2014-09-03,-1.4123
2014-09-04,-0.8357
2014-09-05,0.3612
2014-09-08,1.5194
2014-09-09,-2.1662
2014-09-10,1.087
2014-09-11,0.3186
2014-09-12,-0.7543
2014-09-15,-0.52
2014-09-16,-0.3217
2014-09-17,0.2017
2014-09-18,2.7375
2014-09-19,-0.627
2014-09-22,-2.2476
2014-09-23,-1.3715
2014-09-24,1.9223
2014-09-25,0.2006
2014-09-26,2.0024
2014-09-29,-49.5878
2014-09-30,-9.5794
2014-10-01,7.8381
2014-10-02,0.3195
2014-10-03,3.5827999999999998
2014-10-06,1.8447
2014-10-07,-4.4528
2014-10-08,0.7899
