ticker,RIBS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-03-08,-25.0
2011-03-09,-30.0
2011-05-06,-3.8095
2011-05-09,0.0
2011-12-16,0.0
2011-12-22,0.0
2012-01-31,-25.7426
2012-02-29,0.0
2012-03-01,34.6667
2012-03-08,-20.7921
2012-08-30,26.25
2012-11-02,0.0
2012-11-15,23.7624
2012-11-16,0.0
2012-11-29,60.0
2012-12-04,0.0
2012-12-05,24.0
2012-12-07,0.8065
2012-12-10,0.0
2012-12-11,0.0
2012-12-13,0.0
2012-12-14,-0.4
2012-12-17,-13.6546
2012-12-18,16.2791
2012-12-20,-22.0
2012-12-21,28.2051
2012-12-26,0.0
2013-01-02,0.0
2013-01-03,-10.0
2013-01-04,-11.1111
2013-01-09,0.5
2013-01-10,31.8408
2013-01-11,-20.7547
2013-01-14,-4.7619
2013-01-15,5.0
2013-01-16,4.7619
2013-01-23,13.6364
2013-02-01,4.4
2013-02-07,-2.2989
2013-02-08,11.7647
2013-02-12,0.0
2013-02-13,0.0
2013-02-14,-3.5088
2013-02-20,0.0
2013-02-22,5.4545
2013-02-25,3.4483
2013-03-01,0.0
2013-03-04,-1.6667
2013-03-05,-1.6949
2013-03-11,0.0
2013-03-12,-12.069
2013-03-18,11.7647
2013-03-19,0.0
2013-03-21,-1.7544
2013-03-25,0.0
2013-03-26,-8.9286
2013-04-01,0.0
2013-04-02,0.0
2013-04-03,0.0
2013-04-04,-17.647100000000002
2013-04-12,-4.7619
2013-04-16,0.0
2013-04-19,-25.0
2013-04-30,16.6667
2013-05-02,0.0
2013-05-07,-1.7143000000000002
2013-05-09,-1.1628
2013-05-10,0.0
2013-05-13,0.0
2013-05-15,-29.4118
2013-05-20,0.0
2013-06-03,-15.8333
2013-06-05,0.0
2013-06-12,0.9901
2013-06-14,17.647100000000002
2013-06-17,0.0
2013-06-19,8.3333
2013-06-20,0.0
2013-06-21,0.0
2013-06-26,0.0
2013-06-27,-60.7692
2013-06-28,192.1569
2013-07-02,0.0
2013-07-05,0.6711
2013-07-08,0.0
2013-07-09,0.0
2013-07-10,-16.6667
2013-07-15,-12.0
2013-07-17,0.0
2013-07-18,4.5455
2013-07-19,4.3478
2013-07-22,0.0
2013-07-23,-7.5
2013-07-25,-5.4054
2013-07-26,0.0
2013-07-31,0.0
2013-08-01,0.0
2013-08-02,0.0
2013-08-06,0.0
2013-08-08,0.0
2013-08-13,9.5238
2013-08-14,13.0435
2013-08-15,7.6923
2013-08-16,3.5714
