ticker,MENI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-11-11,-60.0
2005-08-17,90.0
2005-08-18,13.1579
2005-08-19,39.5349
2005-08-22,0.0
2005-08-25,13.3333
2005-08-29,44.1176
2005-09-09,2.0408
2005-09-16,0.0
2005-09-20,-3.0
2005-09-22,8.2474
2005-09-26,52.381
2005-09-27,-38.125
2005-09-29,-8.0808
2005-09-30,7.6923
2005-10-03,5.102
2005-10-21,-44.6602
2005-10-28,0.0
2005-10-31,0.0
2005-11-01,0.0
2005-11-02,0.0
2005-11-04,29.8246
2005-11-07,16.2162
2005-11-08,4.0698
2005-11-09,6.1453
2005-11-10,29.4737
2005-11-11,9.7561
2005-11-14,-5.9259
2005-11-15,3.9370000000000003
2005-11-16,-1.5152
2005-11-17,-19.2308
2005-11-18,9.5238
2005-11-21,-4.3478
2005-11-22,-4.5455
2005-11-23,4.7619
2005-11-28,-1.8182
2005-11-29,11.1111
2005-11-30,0.0
2005-12-01,-5.0
2005-12-02,-2.6316
2005-12-06,-5.4054
2005-12-08,-7.619
2005-12-09,13.4021
2005-12-12,-4.5455
2005-12-13,15.2381
2005-12-14,3.8017
2005-12-15,-6.051
2005-12-16,3.3898
2005-12-19,2.459
2005-12-20,-4.0
2005-12-21,-4.1667
2005-12-22,13.0435
2005-12-23,0.0
2005-12-27,0.7692
2005-12-28,0.7634
2005-12-29,6.0606
2005-12-30,0.0
2006-01-03,-3.5714
2006-01-04,-7.4074
2006-01-05,3.2
2006-01-06,4.6512
2006-01-09,-3.7037
2006-01-10,3.0769
2006-01-11,-10.4478
2006-01-12,11.6667
2006-01-13,-21.6418
2006-01-17,-23.8095
2006-01-18,31.25
2006-01-24,-5.7143
2006-01-25,1.0101
2006-01-26,0.0
2006-01-27,0.0
2006-01-30,0.0
2006-01-31,-14.0
2006-02-01,16.2791
2006-02-02,0.0
2006-02-06,0.0
2006-02-07,10.0
2006-02-08,-9.0909
2006-02-09,1.0
2006-02-10,2.8712999999999997
2006-02-13,-3.7536
2006-02-15,-5.0
2006-02-16,4.2105
2006-02-17,-9.0909
2006-02-21,12.2222
2006-02-22,7.8218
2006-02-23,-3.5813
2006-02-24,0.0
2006-02-27,-4.7619
2006-02-28,-3.0
2006-03-01,-0.5155
2006-03-02,8.8083
2006-03-03,-1.9048
2006-03-06,-8.7379
2006-03-07,3.1915
2006-03-08,7.2165
2006-03-09,5.7692
2006-03-10,13.6364
2006-03-13,-19.93
2006-03-14,-2.0857
2006-03-15,4.0816
