ticker,NHS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-07-29,0.0
2003-07-30,0.0667
2003-07-31,0.0
2003-08-01,-0.0666
2003-08-04,0.0
2003-08-05,0.0667
2003-08-06,0.0
2003-08-07,-0.0666
2003-08-08,0.0
2003-08-11,0.0667
2003-08-12,-0.0666
2003-08-13,0.3333
2003-08-14,-0.1993
2003-08-15,0.5326
2003-08-18,-0.6623
2003-08-19,-5.0
2003-08-20,1.6139999999999999
2003-08-21,2.279
2003-08-22,-1.688
2003-08-25,-0.6868
2003-08-26,0.6224
2003-08-27,1.0309
2003-08-28,-2.0408
2003-08-29,0.3472
2003-09-02,-0.0692
2003-09-03,1.2465
2003-09-04,1.5732
2003-09-05,-0.6734
2003-09-08,0.0678
2003-09-09,0.3388
2003-09-10,-0.3376
2003-09-11,0.9485
2003-09-12,0.2013
2003-09-15,-3.5499
2003-09-16,2.2222
2003-09-17,0.6793
2003-09-18,0.388
2003-09-19,1.0855
2003-09-22,-0.2685
2003-09-23,-0.2692
2003-09-24,0.2024
2003-09-25,0.0673
2003-09-26,0.4038
2003-09-29,-0.5362
2003-09-30,0.1348
2003-10-01,0.0673
2003-10-02,-0.0672
2003-10-03,0.4711
2003-10-06,0.5358
2003-10-07,-0.0666
2003-10-08,0.6
2003-10-09,0.1988
2003-10-10,0.1323
2003-10-13,0.0
2003-10-14,0.3963
2003-10-15,0.5263
2003-10-16,0.0491
2003-10-17,-0.33
2003-10-20,-0.0662
2003-10-21,0.1325
2003-10-22,0.5956
2003-10-23,0.1974
2003-10-24,0.0
2003-10-27,0.0
2003-10-28,-0.9849
2003-10-29,0.7294
2003-10-30,-0.5925
2003-10-31,0.9934
2003-11-03,-0.0656
2003-11-04,0.1969
2003-11-05,-0.131
2003-11-06,0.2623
2003-11-07,-0.1308
2003-11-10,0.131
2003-11-11,0.2616
2003-11-12,0.3914
2003-11-13,0.1949
2003-11-14,0.3891
2003-11-17,-0.8398
2003-11-18,0.2443
2003-11-19,0.0
2003-11-20,-0.5902
2003-11-21,-0.1319
2003-11-24,-0.7926
2003-11-25,0.8655
2003-11-26,-0.462
2003-11-28,1.1936
2003-12-01,0.2621
2003-12-02,0.2614
2003-12-03,0.6519
2003-12-04,-0.5829
2003-12-05,0.0651
2003-12-08,-0.651
2003-12-09,-0.3277
2003-12-10,0.1972
2003-12-11,0.2625
2003-12-12,0.2618
2003-12-15,0.6527
2003-12-16,1.1673
2003-12-17,-1.3462
2003-12-18,0.2599
