ticker,IRCC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-03-05,0.0
2010-04-12,107.9208
2010-04-13,1.9048
2010-04-14,1.8692
2010-04-15,2.7523
2010-04-16,-0.8929
2010-04-19,0.9009
2010-04-20,0.8929
2010-04-21,0.885
2010-04-22,-0.8772
2010-04-23,1.7699
2010-04-26,0.0
2010-04-27,-4.3478
2010-04-28,2.7273
2010-04-29,3.5398
2010-04-30,-1.7094
2010-05-03,0.0
2010-05-04,2.6087
2010-05-05,0.0
2010-05-06,0.0
2010-05-07,0.8475
2010-05-10,-1.6806999999999999
2010-05-11,-2.5641
2010-05-12,2.6316
2010-05-14,-2.5641
2010-05-17,-6.1404
2010-05-18,6.5421
2010-05-19,3.5088
2010-05-20,-4.2373
2010-05-21,-0.885
2010-05-25,0.0
2010-05-26,-1.7856999999999998
2010-05-27,4.5455
2010-05-28,0.0
2010-06-01,0.0
2010-06-02,-8.6957
2010-06-04,9.5238
2010-06-07,0.0
2010-06-08,-6.087
2010-06-09,-0.9259
2010-06-10,2.8037
2010-06-11,-8.1818
2010-06-14,-10.8911
2010-06-15,8.8889
2010-06-16,-8.1633
2010-06-17,11.1111
2010-06-18,5.0
2010-06-21,3.8095
2010-06-22,0.9174
2010-06-23,-4.5455
2010-06-24,-2.8571
2010-06-25,0.0
2010-06-28,-11.7647
2010-06-29,0.0
2010-06-30,-11.1111
2010-07-01,0.0
2010-07-06,25.0
2010-07-07,-10.0
2010-07-08,0.0
2010-07-09,-5.5556
2010-07-12,-5.8824
2010-07-13,6.25
2010-07-14,5.8824
2010-07-15,0.0
2010-07-16,0.0
2010-07-19,-3.3333
2010-07-20,3.4483
2010-07-21,0.0
2010-07-22,2.2222
2010-07-23,-3.2609
2010-07-26,2.809
2010-07-27,-4.918
2010-07-28,3.4483
2010-07-29,0.0
2010-07-30,-5.5556
2010-08-02,4.7059
2010-08-03,1.1236
2010-08-04,-4.4444
2010-08-05,-1.1628
2010-08-06,2.3529
2010-08-09,-2.2989
2010-08-10,0.0
2010-08-11,-11.7647
2010-08-12,13.3333
2010-08-13,2.3529
2010-08-16,-1.1494
2010-08-17,-8.1395
2010-08-18,2.5316
2010-08-19,-7.4074
2010-08-20,0.0
2010-08-23,13.3333
2010-08-24,-5.8824
2010-08-25,-11.25
2010-08-26,12.6761
2010-08-27,-1.25
2010-08-30,1.2658
2010-08-31,0.0
2010-09-01,0.0
2010-09-02,0.0
2010-09-03,0.0
2010-09-07,0.0
2010-09-08,5.0
