ticker,CHMI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-10-04,-7.5
2013-10-07,-2.1622
2013-10-08,-2.9834
2013-10-09,-0.7973
2013-10-10,0.8037
2013-10-11,2.8474
2013-10-14,0.4983
2013-10-15,-0.551
2013-10-16,-0.277
2013-10-17,-0.7222
2013-10-18,-0.1119
2013-10-21,-0.1681
2013-10-22,0.0561
2013-10-23,0.1122
2013-10-24,1.3445
2013-10-25,0.6081
2013-10-28,-1.3736
2013-10-29,-0.5014
2013-10-30,-0.056
2013-10-31,0.5602
2013-11-01,-0.39
2013-11-04,-0.1678
2013-11-05,-0.056
2013-11-06,-1.065
2013-11-07,-0.5099
2013-11-08,-0.6264
2013-11-11,1.0888
2013-11-12,1.4739
2013-11-13,-1.0615
2013-11-14,0.0565
2013-11-15,-0.2257
2013-11-18,-0.2828
2013-11-19,-0.2836
2013-11-20,-0.3413
2013-11-21,0.5137
2013-11-22,-0.2839
2013-11-25,-0.0569
2013-11-26,-0.2849
2013-11-27,0.2857
2013-11-29,0.5698
2013-12-02,-0.8499
2013-12-03,0.2286
2013-12-04,-0.2281
2013-12-05,0.2857
2013-12-06,0.5128
2013-12-09,-0.7937
2013-12-10,-0.1714
2013-12-11,-0.1145
2013-12-12,-0.2865
2013-12-13,1.2644
2013-12-16,0.5108
2013-12-17,2.3715
2013-12-18,0.4413
2013-12-19,0.7688
2013-12-20,-0.8174
2013-12-23,0.5495
2013-12-24,0.9836
2013-12-26,0.0555
2013-12-27,-0.5543
2013-12-30,-1.8395000000000001
2013-12-31,1.0789
2014-01-02,3.9326
2014-01-03,0.5405
2014-01-06,-0.0538
2014-01-07,-0.4303
2014-01-08,-0.054
2014-01-09,-0.2703
2014-01-10,0.0542
2014-01-13,0.2709
2014-01-14,2.269
2014-01-15,0.1057
2014-01-16,0.5805
2014-01-17,-0.9444
2014-01-21,0.0
2014-01-22,-0.4237
2014-01-23,-0.8511
2014-01-24,-1.2876
2014-01-27,-1.4674
2014-01-28,0.0
2014-01-29,-0.6067
2014-01-30,0.222
2014-01-31,-0.0554
2014-02-03,0.9418
2014-02-04,-0.1647
2014-02-05,-0.11
2014-02-06,0.8255
2014-02-07,0.2729
2014-02-10,-0.3266
2014-02-11,1.3108
2014-02-12,0.1078
2014-02-13,-0.9155
2014-02-14,0.7609
2014-02-18,0.2697
2014-02-19,-0.4303
2014-02-20,-0.9184
2014-02-21,-1.036
2014-02-24,0.4959
2014-02-25,-0.3838
2014-02-26,1.1558
