ticker,CIAU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-10-19,0.0
2011-12-07,0.0
2014-04-29,539.2157
2014-04-30,-7.9755
2014-05-01,-16.6667
2014-05-05,-28.0
2014-05-06,-11.1111
2014-05-08,0.0
2014-05-09,0.0
2014-05-12,25.0
2014-05-13,0.0
2014-05-14,0.0
2014-05-19,0.0
2014-05-20,2.5
2014-05-21,0.0
2014-05-22,0.0
2014-05-23,0.0
2014-05-27,0.0
2014-05-28,0.0
2014-06-11,-24.3902
2014-06-26,0.0
2014-07-09,12.9032
2014-07-10,11.4286
2014-07-14,-1.0256
2014-07-21,-4.1451
2014-07-28,-18.9189
2014-08-11,22.6667
2014-08-12,-18.4783
2014-08-27,-16.6667
2014-08-28,-16.8
2014-09-02,-1.9231
2014-09-03,-0.9804
2014-09-04,-0.9901
2014-09-05,0.0
2014-09-08,-5.0
2014-09-09,-15.7895
2014-09-10,-18.75
2014-09-11,-7.6923
2014-09-12,4.1667
2014-09-15,-18.4
2014-09-16,17.647100000000002
2014-09-17,-15.0
2014-09-19,-21.5686
2014-09-23,-11.25
2014-09-26,5.6338
2014-10-01,6.6667
2014-10-14,-12.5
2014-10-15,14.2857
2014-10-16,0.0
2014-10-22,0.0
2014-10-23,-10.0
2014-10-24,5.5556
2014-10-27,-15.7895
2014-10-28,9.375
2014-10-29,2.8214
2014-11-12,-11.0802
2014-12-02,12.5
2014-12-03,-13.8889
2014-12-04,-19.3548
2014-12-05,-20.0
2014-12-11,25.0
2014-12-15,20.0
2014-12-16,-33.3333
2014-12-17,0.0
2014-12-19,170.0
2014-12-23,37.037
2014-12-24,-18.9189
2014-12-26,16.6667
2014-12-30,-71.4286
2014-12-31,15.0
2015-01-02,117.3913
2015-01-05,0.0
2015-01-06,-53.0
2015-01-07,27.6596
2015-01-09,-1.0
2015-01-20,-5.7239
2015-01-21,-28.5714
2015-01-22,5.0
2015-01-23,19.0476
2015-01-26,0.0
2015-02-04,0.0
2015-02-06,-20.0
2015-02-10,0.0
2015-02-12,0.5
2015-02-27,63.6816
2015-03-03,-24.0122
2015-03-05,1.05
2015-03-06,-1.0391
2015-03-09,-28.0
2015-03-11,38.8889
2015-03-20,40.0
2015-03-26,-42.2857
2015-03-30,-25.7426
2015-03-31,66.6667
2015-04-01,100.0
2015-04-02,-20.0
2015-04-06,-12.5
2015-04-08,14.2857
2015-04-09,-32.5
2015-04-16,-5.1852
2015-04-17,56.25
2015-04-20,-36.0
2015-04-21,1.5625
