ticker,NCNO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-07-14,195.4516
2020-07-15,-21.0176
2020-07-16,-5.6677
2020-07-17,8.4408
2020-07-20,0.1351
2020-07-21,1.1741
2020-07-22,-0.2268
2020-07-23,-4.3182
2020-07-24,3.1717
2020-07-27,-3.0336
2020-07-28,0.7402
2020-07-29,0.5268
2020-07-30,5.7371
2020-07-31,3.1694
