ticker,UTHR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,15.4891
2000-01-04,2.3529
2000-01-05,-3.4483
2000-01-06,3.5714
2000-01-07,4.8276
2000-01-10,4.1667
2000-01-11,11.1579
2000-01-12,2.2727
2000-01-13,3.7037
2000-01-14,2.2321
2000-01-18,7.5983
2000-01-19,-3.7338
2000-01-20,4.2159
2000-01-21,-1.2945
2000-01-24,0.6557
2000-01-25,-2.2801
2000-01-26,-9.8333
2000-01-27,-5.7301
2000-01-28,-1.3725
2000-01-31,-1.3917
2000-02-01,1.6129
2000-02-02,-0.9921
2000-02-03,1.4028
2000-02-04,4.7431
2000-02-07,-0.1887
2000-02-08,22.4953
2000-02-09,-6.1728
2000-02-10,0.0
2000-02-11,5.2632
2000-02-14,-0.3125
2000-02-15,6.0345
2000-02-16,4.2129
2000-02-17,4.3972
2000-02-18,1.7663
2000-02-22,0.4005
2000-02-23,1.4628
2000-02-24,0.5242
2000-02-25,5.4759
2000-02-28,-1.4215
2000-02-29,-2.1944
2000-03-01,2.5641
2000-03-02,-1.1875
2000-03-03,-6.1354
2000-03-06,-2.965
2000-03-07,1.4583
2000-03-08,-0.3422
2000-03-09,0.1374
2000-03-10,1.9203999999999999
2000-03-13,-5.249
2000-03-14,-10.5114
2000-03-15,-13.3333
2000-03-16,2.5641
2000-03-17,-2.5
2000-03-20,-16.3004
2000-03-21,13.7856
2000-03-22,11.9231
2000-03-23,-1.0309
2000-03-24,-2.6042
2000-03-27,17.2906
2000-03-28,0.9878
2000-03-29,-3.6870000000000003
2000-03-30,-8.2813
2000-03-31,5.9625
2000-04-03,-1.6077
2000-04-04,-8.1699
2000-04-05,1.2456
2000-04-06,-2.4605
2000-04-07,-0.4505
2000-04-10,-10.6787
2000-04-11,-2.7356
2000-04-12,-9.7917
2000-04-13,-5.7737
2000-04-14,-18.5049
2000-04-17,-3.1579
2000-04-18,10.559
2000-04-19,3.3708
2000-04-20,-0.5435
2000-04-24,-6.0109
2000-04-25,4.6512
2000-04-26,11.1111
2000-04-27,6.0
2000-04-28,6.6038
2000-05-01,15.1549
2000-05-02,4.5149
2000-05-03,-5.3309
2000-05-04,-0.8738
2000-05-05,9.3046
2000-05-08,-0.8961
2000-05-09,-4.9729
2000-05-10,1.1418
2000-05-11,-2.2578
2000-05-12,-1.4437
2000-05-15,-5.4688
2000-05-16,3.719
2000-05-17,1.3944
2000-05-18,-2.3576
2000-05-19,-1.3078
2000-05-22,-1.7328999999999999
