ticker,CYGT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-05-05,40.0
2005-03-04,-42.8571
2005-03-23,0.0
2005-03-24,1150.0
2005-04-11,620.0
2005-04-12,-16.6667
2005-04-13,-30.0
2005-04-14,42.8571
2005-04-15,-25.0
2005-04-18,0.0
2005-04-19,-5.3333
2005-04-20,4.2254
2005-04-21,8.1081
2005-04-22,12.5
2005-04-25,-16.6667
2005-04-26,26.6667
2005-04-27,-5.2632
2005-04-28,11.1111
2005-04-29,-17.0
2005-05-02,8.4337
2005-05-03,0.0
2005-05-04,10.0
2005-05-05,-28.2828
2005-05-06,25.3521
2005-05-09,-21.3483
2005-05-10,21.4286
2005-05-11,-15.2941
2005-05-12,22.2222
2005-05-13,0.0
2005-05-16,1.1364
2005-05-17,-2.2472
2005-05-18,-4.5977
2005-05-19,2.4096
2005-05-20,-5.8824
2005-05-23,5.0
2005-05-24,0.0
2005-05-25,0.0
2005-05-26,1.1905000000000001
2005-05-27,2.3529
2005-05-31,0.0
2005-06-01,-3.4483
2005-06-02,-2.3810000000000002
2005-06-03,0.0
2005-06-06,-2.439
2005-06-07,2.5
2005-06-08,0.0
2005-06-09,0.0
2005-06-10,-2.439
2005-06-13,2.5
2005-06-14,0.0
2005-06-15,3.6585
2005-06-16,0.0
2005-06-17,1.1764999999999999
2005-06-20,-1.1628
2005-06-21,-2.3529
2005-06-22,0.0
2005-06-23,39.759
2005-06-24,12.931000000000001
2005-06-27,9.1603
2005-06-28,-4.1958
2005-06-29,0.0
2005-06-30,2.1898
2005-07-01,0.0
2005-07-05,0.0
2005-07-06,-0.7143
2005-07-07,0.7194
2005-07-08,0.0
2005-07-11,0.0
2005-07-12,0.7143
2005-07-13,-0.7092
2005-07-14,-1.4285999999999999
2005-07-15,1.4493
2005-07-18,0.7143
2005-07-19,0.0
2005-07-20,-0.7092
2005-07-21,0.0
2005-07-22,-1.4285999999999999
2005-07-25,0.0
2005-07-26,1.4493
2005-07-27,0.0
2005-07-28,-0.7143
2005-07-29,7.9137
2005-08-01,-3.3333
2005-08-02,0.6897
2005-08-03,-0.6849
2005-08-04,0.0
2005-08-05,0.0
2005-08-08,0.0
2005-08-09,2.7586
2005-08-10,-4.0268
2005-08-11,4.8951
2005-08-12,0.6667
2005-08-15,3.9735
2005-08-16,1.2739
2005-08-17,-2.5157
2005-08-18,2.5806
2005-08-19,-2.5157
2005-08-22,2.5806
2005-08-23,-5.6604
2005-08-24,2.6667
2005-08-25,0.6494
