ticker,IESC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-05-16,8.4348
2006-05-17,-7.7747
2006-05-18,-3.2651
2006-05-19,-4.8989
2006-05-22,-7.3251
2006-05-23,4.5385
2006-05-24,-2.6829
2006-05-25,0.401
2006-05-26,-0.1498
2006-05-30,-2.0
2006-05-31,-1.5816
2006-06-01,0.4666
2006-06-02,8.2559
2006-06-05,0.6911
2006-06-06,-1.8225
2006-06-07,-4.0019
2006-06-08,1.6072
2006-06-09,-0.6426
2006-06-12,-5.4726
2006-06-13,-1.3158
2006-06-14,1.8667
2006-06-15,1.4136
2006-06-16,-2.3748
2006-06-19,-4.8123000000000005
2006-06-20,0.3889
2006-06-21,-0.3874
2006-06-22,0.0
2006-06-23,0.1111
2006-06-26,0.8324
2006-06-27,-1.3759000000000001
2006-06-28,2.9576000000000002
2006-06-29,-1.0298
2006-06-30,-4.3264
2006-07-03,4.5793
2006-07-05,-2.5178000000000003
2006-07-06,-2.0775
2006-07-07,1.8349
2006-07-10,0.5631
2006-07-11,-0.056
2006-07-12,-2.7451
2006-07-13,-1.2673
2006-07-14,0.4667
2006-07-17,-1.3937
2006-07-18,0.8245
2006-07-19,2.2196
2006-07-20,-2.9143
2006-07-21,-1.7069
2006-07-24,-0.7186
2006-07-25,0.6634
2006-07-26,-3.1756
2006-07-27,-1.2376
2006-07-28,4.2607
2006-07-31,-1.8029
2006-08-01,-0.3672
2006-08-02,-1.3514
2006-08-03,-0.7472
2006-08-04,-0.8156
2006-08-07,-0.9488
2006-08-08,-10.6003
2006-08-09,-7.5
2006-08-10,0.0
2006-08-11,-6.332
2006-08-14,3.9571
2006-08-15,6.1063
2006-08-16,11.3602
2006-08-17,7.3826
2006-08-18,-0.8125
2006-08-21,0.5041
2006-08-22,0.3135
2006-08-23,-1.9375
2006-08-24,1.3384
2006-08-25,0.1887
2006-08-28,0.7533
2006-08-29,1.5575999999999999
2006-08-30,0.6748
2006-08-31,-0.1828
2006-09-01,-2.8693999999999997
2006-09-05,0.0
2006-09-06,-0.1886
2006-09-07,1.3224
2006-09-08,0.0
2006-09-11,2.1131
2006-09-12,3.4693
2006-09-13,-0.4706
2006-09-14,0.4728
2006-09-15,-0.5882
2006-09-18,0.1183
2006-09-19,-1.1229
2006-09-20,-1.4943
2006-09-21,-1.2743
2006-09-22,-1.7824
2006-09-25,2.5031
2006-09-26,1.0989
2006-09-27,-0.3623
2006-09-28,-0.7879
2006-09-29,-3.4209
2006-10-02,-0.0633
