ticker,OIS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-02-09,1.6667
2001-02-12,-1.6393
2001-02-13,3.8889
2001-02-14,0.5348
2001-02-15,-2.8723
2001-02-16,-1.4239
2001-02-20,0.5556
2001-02-21,0.0
2001-02-22,-0.5525
2001-02-23,0.3333
2001-02-26,0.1107
2001-02-27,0.0
2001-02-28,0.3319
2001-03-01,-0.7718
2001-03-02,0.0
2001-03-05,2.7778
2001-03-06,4.3243
2001-03-07,16.5803
2001-03-08,6.2222
2001-03-09,4.5188
2001-03-12,-10.9688
2001-03-13,5.2158
2001-03-14,-7.6923
2001-03-15,-0.463
2001-03-16,-1.8605
2001-03-19,1.4218
2001-03-20,2.8037
2001-03-21,-4.5455
2001-03-22,2.2857
2001-03-23,-1.1173
2001-03-26,3.5782
2001-03-27,0.0
2001-03-28,-1.8182
2001-03-29,0.9259
2001-03-30,3.211
2001-04-02,-2.6667
2001-04-03,-15.9817
2001-04-04,7.6087
2001-04-05,2.5253
2001-04-06,0.4926
2001-04-09,-2.9412000000000003
2001-04-10,8.0808
2001-04-11,0.4673
2001-04-12,-1.3953
2001-04-16,-3.7736
2001-04-17,-1.9607999999999999
2001-04-18,5.2
2001-04-19,-3.0418
2001-04-20,-0.2941
2001-04-23,-0.59
2001-04-24,-1.2859
2001-04-25,0.3006
2001-04-26,3.3966
2001-04-27,4.1546
2001-04-30,-2.5974
2001-05-01,-6.1905
2001-05-02,-3.1471999999999998
2001-05-03,4.2977
2001-05-04,10.8543
2001-05-07,-0.3626
2001-05-08,0.546
2001-05-09,4.5249
2001-05-10,0.4329
2001-05-11,5.1724
2001-05-14,12.2951
2001-05-15,4.0146
2001-05-16,-4.5614
2001-05-17,-0.7353
2001-05-18,3.7037
2001-05-21,7.1429
2001-05-22,-1.6667
2001-05-23,-2.3729
2001-05-24,-5.2083
2001-05-25,1.6117
2001-05-29,-0.5047
2001-05-30,0.7246
2001-05-31,1.4388
2001-06-01,-0.7092
2001-06-04,1.9285999999999999
2001-06-05,0.1402
2001-06-06,-0.8397
2001-06-07,0.2117
2001-06-08,-4.7183
2001-06-11,-6.8736
2001-06-12,-1.746
2001-06-13,0.9693
2001-06-14,-0.88
2001-06-15,-3.5513
2001-06-18,-9.6234
2001-06-19,2.7778
2001-06-20,-0.1802
2001-06-21,0.6318
2001-06-22,-0.7175
2001-06-25,-0.9937
2001-06-26,-2.3723
2001-06-27,-6.2617
2001-06-28,0.3988
2001-06-29,-8.4409
2001-07-02,-12.1475
