ticker,OOGI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-05-24,6900.0
2006-06-15,-5.7143
2006-06-21,-38.1818
2006-06-28,2.9412000000000003
2006-07-05,42.8571
2006-07-07,0.0
2006-07-17,0.0
2006-07-24,-80.0
2006-08-04,3.3333
2006-08-08,383.871
2006-11-20,-66.0
2006-12-01,-1.9607999999999999
2006-12-29,0.0
2007-07-16,-20.0
2007-12-14,0.0
2007-12-17,-12.5
2007-12-20,45.7143
2007-12-21,7.8431
2007-12-24,27.2727
2007-12-26,14.2857
2007-12-27,6.25
2007-12-31,5.8824
2008-01-02,4.4444
2008-01-03,1.0638
2008-01-04,-5.2632
2008-01-07,61.1111
2008-01-08,-2.7586
2008-01-09,-7.8014
2008-01-10,-3.8462
2008-01-11,-4.0
2008-01-14,16.6667
2008-01-16,14.2857
2008-01-17,0.0
2008-01-25,-6.25
2008-01-28,-6.6667
2008-01-29,0.0
2008-01-30,0.0
2008-01-31,14.2857
2008-02-04,-12.5
2008-02-05,-7.1429
2008-02-08,7.6923
2008-02-15,-27.8571
2008-02-21,38.6139
2008-02-28,14.2857
2008-02-29,28.125
2008-03-03,12.1951
2008-03-04,10.0
2008-03-05,-20.9486
2008-03-06,-12.5
2008-03-07,2.8571
2008-03-10,36.1111
2008-03-11,-2.0408
2008-03-12,25.0
2008-03-13,-1.6667
2008-03-14,-3.3898
2008-03-17,1.7544
2008-03-18,3.4483
2008-03-24,-10.0
2008-03-25,1.8519
2008-03-26,-9.0909
2008-03-28,0.0
2008-03-31,0.0
2008-04-01,0.0
2008-04-02,0.0
2008-04-04,0.0
2008-04-07,10.0
2008-04-09,-18.1818
2008-04-10,-13.3333
2008-04-11,28.2051
2008-04-17,-7.2
2008-04-18,-13.7931
2008-04-23,2.5
2008-04-24,7.3171
2008-04-25,0.0
2008-04-28,11.3636
2008-04-29,-4.0816
2008-04-30,8.5106
2008-05-01,-5.8824
2008-05-02,31.25
2008-05-05,33.3333
2008-05-06,-7.1429
2008-05-07,-3.8462
2008-05-08,-19.2
2008-05-09,8.9109
2008-05-12,-31.8182
2008-05-13,-8.0
2008-05-14,23.1884
2008-05-15,0.0
2008-05-16,0.0
2008-05-19,11.7647
2008-05-20,-29.4737
2008-05-21,29.8507
2008-05-22,-9.1954
2008-05-23,1.2658
2008-05-28,0.0
2008-05-29,-1.25
2008-05-30,1.2658
2008-06-02,1.25
2008-06-03,-1.2346
2008-06-04,0.0
2008-06-05,2.5
2008-06-06,-2.439
