ticker,NVTA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-02-12,6.5625
2015-02-13,4.3988
2015-02-17,10.6742
2015-02-18,9.797
2015-02-19,-7.9519
2015-02-20,1.9588
2015-02-23,-2.7586
2015-02-24,-6.2817
2015-02-25,0.8108
2015-02-26,1.2332
2015-02-27,-1.0593
2015-03-02,0.5353
2015-03-03,7.6145
2015-03-04,-1.0886
2015-03-05,-8.6043
2015-03-06,2.3536
2015-03-09,-6.0963
2015-03-10,-0.3417
2015-03-11,0.0
2015-03-12,-1.7713999999999999
2015-03-13,2.9087
2015-03-16,0.5653
2015-03-17,2.6981
2015-03-18,6.185
2015-03-19,-4.7938
2015-03-20,0.2707
2015-03-23,2.3758
2015-03-24,3.0063
2015-03-25,-8.8582
2015-03-26,-1.9663
2015-03-27,-3.2665
2015-03-30,1.3033000000000001
2015-03-31,-1.9883
2015-04-01,-4.4749
2015-04-02,0.4997
2015-04-06,5.6556999999999995
2015-04-07,-1.8235000000000001
2015-04-08,1.9771999999999998
2015-04-09,-2.5852
2015-04-10,1.5682
2015-04-13,0.1781
2015-04-14,-0.2371
2015-04-15,1.4854
2015-04-16,0.1171
2015-04-17,-4.0936
2015-04-20,-3.1707
2015-04-21,-12.5945
2015-04-22,-8.0692
2015-04-23,0.4702
2015-04-24,3.1981
2015-04-27,-10.9599
2015-04-28,-5.4329
2015-04-29,1.2567
2015-04-30,-2.9255
2015-05-01,3.4703
2015-05-04,0.353
2015-05-05,0.8795
2015-05-06,5.231
2015-05-07,-3.314
2015-05-08,7.7120999999999995
2015-05-11,-4.6937
2015-05-12,4.8414
2015-05-13,-0.8758
2015-05-14,12.4498
2015-05-15,-3.3571
2015-05-18,13.8211
2015-05-19,-2.7922000000000002
2015-05-20,-0.668
2015-05-21,-1.6812
2015-05-22,-5.6088000000000005
2015-05-26,-1.5217
2015-05-27,-4.1207
2015-05-28,-1.3047
2015-05-29,-3.1882
2015-06-01,2.4096
2015-06-02,2.2745
2015-06-03,10.3528
2015-06-04,-2.7102
2015-06-05,0.0
2015-06-08,5.4286
2015-06-09,-4.4038
2015-06-10,4.6067
2015-06-11,5.0813
2015-06-12,-2.0632
2015-06-15,0.6583
2015-06-16,-4.0549
2015-06-17,3.2720000000000002
2015-06-18,-2.1122
2015-06-19,-5.1922
2015-06-22,6.4723
2015-06-23,2.6052
2015-06-24,-1.4323000000000001
2015-06-25,-0.9247
2015-06-26,0.1333
2015-06-29,-2.7297000000000002
2015-06-30,1.8479999999999999
