ticker,LXRX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-04-07,-14.7727
2000-04-10,-9.0
2000-04-11,-12.0879
2000-04-12,-3.3333
2000-04-13,-22.4138
2000-04-14,4.4444
2000-04-17,-15.9574
2000-04-18,12.0253
2000-04-19,7.3446
2000-04-20,-1.5789
2000-04-24,-10.1604
2000-04-25,0.0
2000-04-26,-1.7856999999999998
2000-04-27,-11.5152
2000-04-28,6.8493
2000-05-01,33.9744
2000-05-02,-8.134
2000-05-03,4.1667
2000-05-04,21.0
2000-05-05,-2.4793
2000-05-08,-5.0847
2000-05-09,-1.7856999999999998
2000-05-10,4.5455
2000-05-11,-1.7391
2000-05-12,0.4425
2000-05-15,0.4405
2000-05-16,-0.8772
2000-05-17,0.885
2000-05-18,-2.193
2000-05-19,-5.8296
2000-05-22,-5.7143
2000-05-23,5.0505
2000-05-24,-20.6731
2000-05-25,7.8788
2000-05-26,-8.9888
2000-05-30,-1.2346
2000-05-31,0.0
2000-06-01,11.25
2000-06-02,6.7416
2000-06-05,22.1053
2000-06-06,17.2414
2000-06-07,0.3676
2000-06-08,-3.6630000000000003
2000-06-09,-4.943
2000-06-12,-6.4
2000-06-13,-0.8547
2000-06-14,-3.4483
2000-06-15,-8.0357
2000-06-16,6.7961
2000-06-19,14.5455
2000-06-20,27.7778
2000-06-21,19.2547
2000-06-22,-8.0729
2000-06-23,9.915
2000-06-26,5.6701
2000-06-27,5.122
2000-06-28,29.9304
2000-06-29,-5.1786
2000-06-30,3.5782
2000-07-03,-2.0
2000-07-05,6.8646
2000-07-06,8.3333
2000-07-07,9.7756
2000-07-10,7.5912
2000-07-11,-6.7843
2000-07-12,-3.0568
2000-07-13,-6.3063
2000-07-14,10.0962
2000-07-17,5.3857
2000-07-18,-0.6906
2000-07-19,-4.4506
2000-07-20,9.4614
2000-07-21,0.266
2000-07-24,-4.9072
2000-07-25,-12.6918
2000-07-26,2.0767
2000-07-27,-1.7214
2000-07-28,-4.6178
2000-07-31,-8.8481
2000-08-01,6.5934
2000-08-02,-4.811
2000-08-03,-2.8881
2000-08-04,0.1859
2000-08-07,-1.6698
2000-08-08,-4.1509
2000-08-09,-12.5984
2000-08-10,-11.036
2000-08-11,10.8861
2000-08-14,7.0776
2000-08-15,-2.7719
2000-08-16,0.0
2000-08-17,-1.7544
2000-08-18,6.0268
2000-08-21,-5.6842
2000-08-22,5.3571
2000-08-23,-3.3898
2000-08-24,1.7544
2000-08-25,1.0776
2000-08-28,4.2644
