ticker,CNCE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-02-13,1.2857
2014-02-14,-0.7757
2014-02-18,-0.0711
2014-02-19,0.2134
2014-02-20,-0.5678
2014-02-21,4.7823
2014-02-24,1.4986
2014-02-25,0.1342
2014-02-26,0.0
2014-02-27,-0.134
2014-02-28,-4.1611
2014-03-03,1.3305
2014-03-04,2.3497
2014-03-05,0.5402
2014-03-06,0.5373
2014-03-07,-0.6012
2014-03-10,1.0081
2014-03-11,0.3327
2014-03-12,-4.9735
2014-03-13,-2.9309
2014-03-14,-1.9409999999999998
2014-03-17,0.7331
2014-03-18,2.6201
2014-03-19,-1.2766
2014-03-20,2.658
2014-03-21,-2.8691
2014-03-24,-3.3862
2014-03-25,-2.0134
2014-03-26,-11.035
2014-03-27,8.8965
2014-03-28,-3.2993
2014-03-31,9.2608
2014-04-01,-0.2974
2014-04-02,1.2677
2014-04-03,0.1473
2014-04-04,-3.6765
2014-04-07,-10.458
2014-04-08,2.3018
2014-04-09,0.4167
2014-04-10,-2.7386
2014-04-11,-3.3276
2014-04-14,-4.3248
2014-04-15,-9.2251
2014-04-16,6.0976
2014-04-17,-1.9157
2014-04-21,0.6836
2014-04-22,-0.7759
2014-04-23,-3.3236
2014-04-24,-5.4601
2014-04-25,-4.8128
2014-04-28,-0.5618
2014-04-29,-0.339
2014-04-30,1.3605
2014-05-01,2.0134
2014-05-02,2.9605
2014-05-05,3.3014
2014-05-06,0.8247
2014-05-07,-2.1471999999999998
2014-05-08,-0.7315
2014-05-09,0.8421
2014-05-12,1.2526
2014-05-13,7.2165
2014-05-14,-8.2692
2014-05-15,-9.2243
2014-05-16,-0.3464
2014-05-19,-7.3001
2014-05-20,-6.625
2014-05-21,-3.2129
2014-05-22,6.7773
2014-05-23,12.0466
2014-05-27,1.8497
2014-05-28,-1.9296
2014-05-29,1.9676
2014-05-30,0.3405
2014-06-02,4.0724
2014-06-03,-0.9783
2014-06-04,-3.5126
2014-06-05,-5.1195
2014-06-06,0.0
2014-06-09,-1.3189
2014-06-10,2.0656
2014-06-11,3.6905
2014-06-12,8.6108
2014-06-13,-6.2368
2014-06-16,4.8478
2014-06-17,-3.9785
2014-06-18,-2.5756
2014-06-19,12.069
2014-06-20,7.2821
2014-06-23,-8.6042
2014-06-24,-7.7406
2014-06-25,0.907
2014-06-26,7.8652
2014-06-27,3.4375
2014-06-30,1.712
2014-07-01,-1.9802
2014-07-02,3.3333
2014-07-03,-2.5415
2014-07-07,-6.319
