ticker,IDPE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-01-22,-75.0
2014-01-23,300.0
2014-02-28,-15.0
2014-03-05,368.2353
2014-03-24,-62.3116
2014-03-31,33.3333
2014-04-09,0.0
2014-04-10,-5.0
2014-04-15,-21.0526
2014-05-01,-83.3333
2014-05-06,340.0
2014-07-24,0.0
2014-07-25,-18.1818
2014-07-29,-16.6667
2014-07-30,-26.6667
2014-07-31,0.0
2014-08-01,0.0
2014-08-04,0.0
2014-08-07,0.0
2014-08-08,0.0
2014-08-11,0.0
2014-08-13,0.0
2014-08-14,0.0
2014-08-15,0.0
2014-08-19,0.0
2014-08-26,0.0
2014-09-10,0.0
2014-09-11,0.0
2014-09-18,0.0
2014-10-07,-38.1818
2014-10-27,11.7647
2014-11-19,-34.2105
2014-11-20,0.0
2014-12-26,0.0
2015-03-12,0.0
2015-03-13,0.0
2015-03-25,-24.0
2015-07-29,0.0
2015-12-09,0.0
2016-03-17,-34.2105
2016-07-29,-20.0
2016-08-29,0.0
2016-10-26,50.0
2016-11-03,-33.3333
2016-11-08,0.0
2016-12-09,0.0
2016-12-12,0.0
2016-12-19,0.0
2017-01-06,0.0
2017-01-31,11.5
2017-02-06,-10.3139
2017-08-24,0.0
2017-10-05,0.0
2017-10-18,11.5
2017-11-08,79.3722
2017-11-09,-50.0
2018-04-03,100.0
2018-05-17,-50.0
2018-08-13,0.0
2019-01-22,10.0
2019-02-06,54.5455
2019-02-07,66.1765
2019-02-08,-22.1239
2019-02-11,-4.5455
2019-02-12,42.8571
2019-02-13,33.3333
2019-02-14,0.0
2019-03-06,-47.5
2019-03-08,19.0476
2019-03-13,-11.0
2019-03-15,-10.1124
2019-03-25,3.75
2019-04-05,-22.8916
2019-04-12,0.0
2019-05-03,-6.25
2019-07-16,0.0
2019-07-31,0.0
2019-10-04,-29.9333
2019-11-06,-29.8763
2019-11-25,0.0
2019-12-09,-29.8507
2020-01-31,-80.6576
2020-03-09,200.0
2020-03-16,0.0
2020-04-28,1566.6667
2020-06-09,0.0
2020-06-29,0.0
2020-07-07,-96.0
