ticker,PGPXF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-08-01,-0.2372
2007-08-02,-3.6787
2007-08-28,-9.8597
2007-10-03,0.7638
2008-01-18,-6.4502
2008-03-17,-32.7626
2008-04-10,5.2751
2008-04-15,-3.4125
2008-04-16,-9.1234
2008-05-30,23.622
2008-07-07,-2.0701
2008-08-20,-28.4553
2008-09-02,12.5
2008-09-25,-23.2323
2008-11-12,-38.0592
2008-12-16,-28.0404
2008-12-24,-25.6089
2008-12-29,-4.7619
2008-12-30,5.0
2009-01-02,36.2103
2009-04-21,-37.0721
2009-04-22,-7.4074
2009-08-14,93.75
2009-10-20,123.8065
2009-10-22,25.3675
2009-10-27,-7.289
2009-11-06,-6.746
2009-11-25,12.0479
2009-12-01,-5.2931
2009-12-02,-0.5013
2009-12-23,2.0151
2009-12-24,-1.9012
2009-12-30,-3.0707
2009-12-31,2.2072
2010-01-12,-11.7886
2010-01-13,9.6198
2010-01-14,-5.4651
2010-01-15,5.8922
2010-01-26,-10.8924
2010-02-10,-5.2725
2010-02-26,41.6318
2010-03-09,-21.7256
2010-03-16,6.2417
2010-03-23,-5.125
2010-03-24,-3.9965
2010-03-25,-3.2937
2010-04-20,-5.2507
2010-04-21,0.0
2010-04-22,11.5826
2010-04-26,-10.604
2010-04-27,2.3524
2010-04-28,0.4401
2010-04-29,0.7303
2010-05-10,-5.7999
2010-05-11,0.5644
2010-06-04,-16.7347
2010-06-21,0.674
2010-06-22,19.4157
2010-07-02,-19.8267
2010-07-08,-7.7559000000000005
2010-07-13,0.8959
2010-07-26,11.0656
2010-07-28,4.305
2010-07-29,-4.717
2010-08-03,-8.1064
2010-10-12,4.1751
2010-12-13,52.8096
2011-03-10,-32.2772
2011-10-14,-81.2865
2011-12-08,45.8333
2011-12-12,0.0
2012-03-28,-8.5714
2012-06-22,-6.25
2012-09-13,6.6667
2012-09-26,12.5
2012-12-31,-27.7778
2013-04-29,476.9231
2013-05-09,-2.6667
2013-05-13,0.0
2013-08-21,-14.3428
2013-09-24,-74.7368
2014-08-26,-33.3333
2015-09-18,-50.0
2016-04-25,0.0
2019-07-09,-90.0
2019-10-30,0.0
2019-12-20,0.0
2019-12-31,0.0
