ticker,IIIV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-06-21,41.1538
2018-06-22,-5.9946
2018-06-25,-8.2899
2018-06-26,-1.9595
2018-06-27,-6.383
2018-06-28,1.584
2018-06-29,3.1864
2018-07-02,-0.8541
2018-07-03,-0.3313
2018-07-05,2.3271
2018-07-06,1.3645
2018-07-09,3.4615
2018-07-10,-0.2478
2018-07-11,5.2174
2018-07-12,-1.0626
2018-07-13,-0.7757
2018-07-16,0.7216
2018-07-17,0.0
2018-07-18,-1.9701
2018-07-19,-0.9744
2018-07-20,2.583
2018-07-23,-1.199
2018-07-24,-2.1845
2018-07-25,-0.1241
2018-07-26,1.3665
2018-07-27,-3.6765
2018-07-30,-4.771
2018-07-31,2.2712
2018-08-01,-1.9595
2018-08-02,1.5989
2018-08-03,-1.1803
2018-08-06,1.6589
2018-08-07,-2.4151
2018-08-08,1.6722000000000001
2018-08-09,-2.6316
2018-08-10,3.0405
2018-08-13,1.6393
2018-08-14,2.8387000000000002
2018-08-15,-2.8231
2018-08-16,3.0987999999999998
2018-08-17,-0.9393
2018-08-20,1.0746
2018-08-21,6.6291
2018-08-22,6.5103
2018-08-23,-0.0551
2018-08-24,3.416
2018-08-27,-3.3031
2018-08-28,0.0
2018-08-29,0.4959
2018-08-30,1.0965
2018-08-31,0.9761
2018-09-04,1.6112
2018-09-05,0.8457
2018-09-06,4.5073
2018-09-07,-0.9027
2018-09-10,-1.4676
2018-09-11,7.2933
2018-09-12,0.5744
2018-09-13,3.7125
2018-09-14,4.3139
2018-09-17,0.308
2018-09-18,-3.8158
2018-09-19,1.1856
2018-09-20,1.2618
2018-09-21,-0.4895
2018-09-24,-0.6708
2018-09-25,2.4764
2018-09-26,-2.1968
2018-09-27,1.8868
2018-09-28,1.3228
2018-10-01,3.4378
2018-10-02,2.6083
2018-10-03,-1.968
2018-10-04,-2.3839
2018-10-05,-9.7686
2018-10-08,0.5698
2018-10-09,-2.2663
2018-10-10,-3.9614000000000003
2018-10-11,-3.4708
2018-10-12,6.5138
2018-10-15,-4.0117
2018-10-16,6.9827
2018-10-17,-0.6193
2018-10-18,-1.6299000000000001
2018-10-19,0.8772
2018-10-22,5.1691
2018-10-23,-2.6642
2018-10-24,-2.5956
2018-10-25,2.2287
2018-10-26,-0.237
2018-10-29,-0.6651
2018-10-30,2.726
2018-10-31,0.0466
2018-11-01,-0.1396
2018-11-02,-1.0252
2018-11-05,-1.1299
2018-11-06,-4.8095
2018-11-07,-0.7004
