ticker,TTGT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-05-17,13.7692
2007-05-18,1.8932
2007-05-21,0.0
2007-05-22,-0.7299
2007-05-23,-1.738
2007-05-24,0.068
2007-05-25,0.0
2007-05-29,0.2719
2007-05-30,-1.0169
2007-05-31,0.8219
2007-06-01,7.337
2007-06-04,-6.2025
2007-06-05,1.2821
2007-06-06,-1.6656
2007-06-07,-1.1518
2007-06-08,-2.9472
2007-06-11,2.2599
2007-06-12,-1.2431
2007-06-13,1.2587
2007-06-14,0.5525
2007-06-15,0.206
2007-06-18,-0.6169
2007-06-19,1.7931
2007-06-20,3.794
2007-06-21,-4.765
2007-06-22,-3.3585
2007-06-25,-1.6312
2007-06-26,-0.8652
2007-06-27,3.6364
2007-06-28,-6.5965
2007-06-29,-3.456
2007-07-02,-1.7899
2007-07-03,-2.1395
2007-07-05,0.4858
2007-07-06,1.0475
2007-07-09,-2.3923
2007-07-10,-4.6569
2007-07-11,15.5099
2007-07-12,0.0742
2007-07-13,1.2602
2007-07-16,-0.9517
2007-07-17,1.1086
2007-07-18,-0.4386
2007-07-19,-0.7342
2007-07-20,-1.7751000000000001
2007-07-23,-3.3886
2007-07-24,-1.5588
2007-07-25,2.9295
2007-07-26,1.3077
2007-07-27,-5.0114
2007-07-30,0.2398
2007-07-31,7.496
2007-08-01,-1.4095
2007-08-02,-5.6433
2007-08-03,-0.319
2007-08-06,8.4
2007-08-07,-7.1587
2007-08-08,1.3514
2007-08-09,-2.902
2007-08-10,3.3118
2007-08-13,-4.8475
2007-08-14,2.1364
2007-08-15,-0.2414
2007-08-16,2.0161
2007-08-17,-0.7115
2007-08-20,0.0796
2007-08-21,-0.716
2007-08-22,0.641
2007-08-23,-0.1592
2007-08-24,1.6745999999999999
2007-08-27,3.1373
2007-08-28,-0.2281
2007-08-29,2.5915
2007-08-30,-2.3031
2007-08-31,-0.9886
2007-09-04,6.0676
2007-09-05,-1.5206
2007-09-06,-1.1764999999999999
2007-09-07,1.7113
2007-09-10,1.3899
2007-09-11,3.1746
2007-09-12,2.7972
2007-09-13,5.4422
2007-09-14,0.1935
2007-09-17,-2.0605
2007-09-18,4.7337
2007-09-19,6.7169
2007-09-20,-0.2353
2007-09-21,0.4127
2007-09-24,0.9395
2007-09-25,2.676
2007-09-26,2.2663
2007-09-27,0.9972
2007-09-28,-7.2957
2007-10-01,0.4734
2007-10-02,2.4735
2007-10-03,0.0575
2007-10-04,-4.9397
2007-10-05,-3.565
