ticker,AINC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-11-10,0.0
2014-11-11,3.956
2014-11-12,14.7569
2014-11-13,3.5372
2014-11-14,11.832699999999999
2014-11-17,12.5855
2014-11-18,35.2459
2014-11-19,2.4032999999999998
2014-11-20,-1.9898
2014-11-21,8.8183
2014-11-24,21.5078
2014-11-25,-7.7953
2014-11-26,1.6225
2014-11-28,-0.2101
2014-12-01,-4.7916
2014-12-02,-1.2383
2014-12-03,-6.8601
2014-12-04,-5.7981
2014-12-05,-5.3282
2014-12-08,-4.8841
2014-12-09,1.9383
2014-12-10,-2.8689
2014-12-11,-1.5798999999999999
2014-12-12,1.7797
2014-12-15,-4.0914
2014-12-16,3.7893
2014-12-17,2.411
2014-12-18,-2.4664
2014-12-19,3.7816
2014-12-22,0.5095
2014-12-23,-4.1322
2014-12-24,2.8736
2014-12-26,2.0894
2014-12-29,-0.6567
2014-12-30,-0.5729
2014-12-31,4.1551
2015-01-02,1.8617
2015-01-05,-1.3054999999999999
2015-01-06,-0.5291
2015-01-07,2.8723
2015-01-08,1.3444
2015-01-09,4.0816
2015-01-12,1.1764999999999999
2015-01-13,2.1899
2015-01-14,-0.531
2015-01-15,-1.8112
2015-01-16,1.4563
2015-01-20,0.7177
2015-01-21,0.9501
2015-01-22,1.6471
2015-01-23,4.3981
2015-01-26,1.1086
2015-01-27,-3.5088
2015-01-28,0.1364
2015-01-29,8.0163
2015-01-30,21.8692
2015-02-02,6.8966
2015-02-03,-3.2258
2015-02-04,-0.2
2015-02-05,4.3754
2015-02-06,-5.6
2015-02-09,0.6441
2015-02-10,0.3368
2015-02-11,-5.955
2015-02-12,2.263
2015-02-13,-2.2688
2015-02-17,-0.8929
2015-02-18,2.3351
2015-02-19,1.5564
2015-02-20,0.6033
2015-02-23,-2.1162
2015-02-24,-0.3454
2015-02-25,0.7
2015-02-26,1.7544
2015-02-27,-4.8207
2015-03-02,-4.2097999999999995
2015-03-03,-1.3994
2015-03-04,-3.8895
2015-03-05,-2.7778
2015-03-06,-9.688
2015-03-09,3.6818
2015-03-10,-2.9373
2015-03-11,2.0777
2015-03-12,3.7168
2015-03-13,-1.0239
2015-03-16,3.4483
2015-03-17,2.0833
2015-03-18,-0.6286
2015-03-19,1.8566
2015-03-20,-4.8309999999999995
2015-03-23,2.3305
2015-03-24,0.0
2015-03-25,-2.2774
2015-03-26,3.7542
2015-03-27,0.0653
2015-03-30,0.4
2015-03-31,-3.4472
2015-04-01,-2.3998
