ticker,DRIO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-04-10,6.4257
2013-04-11,3.7736
2013-04-12,0.7273
2013-04-15,1.083
2013-04-16,-3.5714
2013-04-17,5.1852
2013-04-18,-6.6901
2013-04-19,-2.6414999999999997
2013-04-22,-3.1008
2013-04-23,0.4
2013-04-24,5.5777
2013-04-25,4.5283
2013-04-26,4.6931
2013-04-29,-6.8966
2013-04-30,-2.5926
2013-05-01,2.6616
2013-05-02,1.1111
2013-05-03,-4.7619
2013-05-06,-3.8462
2013-05-07,4.0
2013-05-08,1.9231
2013-05-09,3.7736
2013-05-10,3.6364
2013-05-13,7.0175
2013-05-14,-4.918
2013-05-15,0.0
2013-05-16,0.0
2013-05-17,3.4483
2013-05-20,-1.0
2013-05-21,-2.3569
2013-05-22,3.1034
2013-05-23,-0.3344
2013-05-24,0.6711
2013-05-28,0.3333
2013-05-29,-3.6545
2013-05-30,3.1034
2013-05-31,-3.01
2013-06-03,-1.3793
2013-06-04,-0.3497
2013-06-05,4.9123
2013-06-06,-1.6722000000000001
2013-06-07,-3.0612
2013-06-10,-3.5088
2013-06-11,1.4545
2013-06-12,-1.4337
2013-06-13,4.3636
2013-06-14,-5.5748999999999995
2013-06-17,1.476
2013-06-18,-6.9091000000000005
2013-06-19,-3.9062
2013-06-20,2.439
2013-06-21,1.5873
2013-06-24,0.3906
2013-06-25,-0.3891
2013-06-26,6.6406
2013-06-27,1.0989
2013-06-28,1.4493
2013-07-01,-0.7143
2013-07-02,0.7194
2013-07-03,-1.7856999999999998
2013-07-05,4.7273
2013-07-08,-0.6944
2013-07-09,1.7483
2013-07-10,0.0
2013-07-11,-3.4364
2013-07-12,-1.0676
2013-07-15,0.7194
2013-07-16,0.0
2013-07-17,3.5714
2013-07-18,1.3793
2013-07-19,-1.3605
2013-07-22,0.0
2013-07-23,0.0
2013-07-24,-2.4138
2013-07-25,0.0
2013-07-26,1.7668
2013-07-29,0.6944
2013-07-30,1.3793
2013-07-31,0.3401
2013-08-01,-4.0678
2013-08-02,-0.3534
2013-08-05,2.8369
2013-08-06,-1.7241
2013-08-07,0.7018
2013-08-08,-1.3937
2013-08-09,0.3534
2013-08-12,0.3521
2013-08-13,-2.4561
2013-08-14,0.7194
2013-08-15,-1.4285999999999999
2013-08-16,-0.3623
2013-08-19,-1.8182
2013-08-20,1.8519
2013-08-21,0.0
2013-08-22,0.3636
2013-08-23,3.2609
2013-08-26,-3.1579
2013-08-27,-3.9855
2013-08-28,1.8868
