ticker,AAWC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-12-24,-4.5455
2003-12-26,-3.8095
2003-12-29,10.8911
2003-12-30,16.0714
2003-12-31,-22.3077
2004-01-02,15.8416
2004-01-05,15.3846
2004-01-06,23.7037
2004-01-07,1.7964
2004-01-08,5.8824
2004-01-09,13.8889
2004-01-12,12.1951
2004-01-13,4.3478
2004-01-14,4.1667
2004-01-15,-2.4
2004-01-16,2.459
2004-01-20,-3.2
2004-01-21,3.3058
2004-01-22,-6.0
2004-01-23,2.1277
2004-01-26,-6.25
2004-01-27,8.8889
2004-01-28,-2.0408
2004-01-29,-3.75
2004-01-30,1.7316
2004-02-02,0.0
2004-02-03,2.1277
2004-02-04,0.8333
2004-02-05,7.8512
2004-02-06,1.5326
2004-02-09,-1.1320999999999999
2004-02-10,-12.2137
2004-02-11,9.1304
2004-02-12,-2.3904
2004-02-13,-6.1224
2004-02-17,0.0
2004-02-18,1.7391
2004-02-19,6.8376
2004-02-20,-4.0
2004-02-23,-2.0833
2004-02-24,8.9362
2004-02-25,13.2812
2004-02-26,-13.7931
2004-02-27,6.0
2004-03-01,18.4906
2004-03-02,3.5032
2004-03-03,0.0
2004-03-04,1.5385
2004-03-05,3.3333
2004-03-08,8.5044
2004-03-09,8.1081
2004-03-10,9.75
2004-03-11,8.2005
2004-03-12,1.0526
2004-03-15,-5.2083
2004-03-16,2.1978
2004-03-17,-6.4516
2004-03-18,12.6437
2004-03-19,-2.449
2004-03-22,2.5105
2004-03-23,-2.0408
2004-03-24,-4.1667
2004-03-25,1.087
2004-03-26,-10.7527
2004-03-29,7.2289
2004-03-30,5.618
2004-03-31,2.1277
2004-04-01,3.125
2004-04-02,6.5657
2004-04-05,4.2654
2004-04-06,-0.1818
2004-04-07,0.9107
2004-04-08,0.5415
2004-04-12,3.2316
2004-04-13,0.8522
2004-04-14,1.9141
2004-04-15,-5.2453
2004-04-16,6.25
2004-04-19,3.1933
2004-04-20,1.3029
2004-04-21,2.2508
2004-04-22,0.9434
2004-04-23,-0.7788
2004-04-26,-5.8085
2004-04-27,0.0
2004-04-28,4.0
2004-04-29,4.1667
2004-04-30,0.0
2004-05-03,1.6923
2004-05-04,-13.0106
2004-05-05,2.6087
2004-05-06,-16.1017
2004-05-07,-7.0707
2004-05-10,-8.6957
2004-05-11,0.0
2004-05-12,-3.5714
2004-05-13,1.2346
2004-05-14,0.0
2004-05-17,8.5366
2004-05-18,-1.1236
2004-05-19,3.4091
2004-05-20,9.8901
