ticker,CNFR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-08-13,0.9524
2015-08-14,-0.9434
2015-08-17,0.0
2015-08-18,0.0
2015-08-19,-0.2845
2015-08-20,-0.6698
2015-08-21,0.1923
2015-08-24,-1.7274
2015-08-25,1.0742
2015-08-26,0.9662
2015-08-27,-1.8917000000000002
2015-08-28,1.3918
2015-08-31,-4.2809
2015-09-01,0.0
2015-09-02,1.7085
2015-09-03,1.1858
2015-09-04,-1.2695
2015-09-08,-0.9891
2015-09-09,-1.3986
2015-09-10,-0.6199
2015-09-11,1.7452
2015-09-14,3.8076
2015-09-15,-3.4749
2015-09-16,-1.6
2015-09-17,1.626
2015-09-18,0.3
2015-09-21,-2.6919
2015-09-22,-0.1012
2015-09-23,0.6141
2015-09-24,0.0204
2015-09-25,0.9988
2015-09-28,2.0182
2015-09-29,-2.7695
2015-09-30,-0.8138
2015-10-01,-0.9231
2015-10-02,-4.0373
2015-10-05,7.3355
2015-10-06,-0.5025
2015-10-07,-1.2121
2015-10-08,-0.3067
2015-10-09,0.5128
2015-10-12,-4.6939
2015-10-13,-3.6403
2015-10-14,-0.3333
2015-10-15,0.3344
2015-10-16,1.5556
2015-10-19,2.1882
2015-10-20,0.6424
2015-10-21,0.5319
2015-10-22,2.6455
2015-10-23,0.0
2015-10-26,-0.4124
2015-10-27,-2.795
2015-10-28,2.5027
2015-10-29,-0.2597
2015-10-30,-0.4167
2015-11-02,0.0
2015-11-03,-0.2092
2015-11-04,-1.9916
2015-11-05,-2.6738
2015-11-06,3.0769
2015-11-09,-1.8124
2015-11-10,4.126
2015-11-11,-2.5026
2015-11-12,-1.0695000000000001
2015-11-13,-0.5946
2015-11-16,-0.0544
2015-11-17,0.5985
2015-11-18,-1.2439
2015-11-19,0.1095
2015-11-20,-0.4376
2015-11-23,0.0
2015-11-24,1.9231
2015-11-25,5.4447
2015-11-27,3.1697
2015-11-30,-2.9732
2015-12-01,-1.1236
2015-12-02,-2.5826000000000002
2015-12-03,-0.106
2015-12-04,3.8217
2015-12-07,1.6360000000000001
2015-12-08,-2.7163
2015-12-09,-1.0341
2015-12-10,2.7168
2015-12-11,-3.5605
2015-12-14,3.481
2015-12-15,0.1019
2015-12-16,-1.8839000000000001
2015-12-17,1.4011
2015-12-18,-5.3224
2015-12-21,-3.3514
2015-12-22,5.7047
2015-12-23,0.2116
2015-12-24,-3.5903
2015-12-28,-1.2048
2015-12-29,2.2173
2015-12-30,-0.8677
2015-12-31,1.4223
