ticker,APQT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-12-28,-62.2414
2019-01-02,-8.6758
2019-01-07,190.0
2019-01-09,-65.5172
2019-01-14,0.0
2019-01-24,-50.0
2019-01-28,0.0
2019-01-29,-40.0
2019-02-22,733.3333
2019-02-26,198.0
2019-02-27,0.0
2019-03-01,134.8993
2019-03-04,0.0
2019-03-05,2.8571
2019-03-06,-0.5556
2019-03-11,-5.0279
2019-03-14,8.8235
2019-03-15,-40.5405
2019-03-18,4.5455
2019-03-19,26.087
2019-03-21,0.0
2019-03-22,13.7931
2019-03-27,10.9091
2019-03-28,9.2896
2019-04-01,-12.5
2019-04-02,0.0
2019-04-08,2.8571
2019-04-15,-37.2222
2019-04-22,67.2566
2019-04-23,18.5185
2019-04-24,12.767900000000001
2019-04-25,18.7648
2019-04-29,-1.6667
2019-05-01,0.0
2019-05-03,-37.2881
2019-05-07,70.2703
2019-05-09,-4.7619
2019-05-10,-40.0
2019-05-15,66.6667
2019-05-16,2.6667
2019-05-21,60.7143
2019-05-22,1.0101
2019-05-23,-4.0
2019-05-29,4.1667
2019-05-30,-10.0
2019-06-03,0.0
2019-06-04,2.2222
2019-06-17,-13.0435
2019-06-24,-25.0
2019-07-22,-7.3333
2019-08-13,-38.8453
2019-08-22,4.1115
2019-08-26,-14.1243
2019-08-28,17.7632
2019-08-29,11.7318
2019-09-06,-4.675
2019-09-16,-60.2675
2019-09-17,51.802
2019-09-18,-4.3395
2019-09-19,0.0
2019-09-24,3.6364
2019-09-25,7.0175
2019-09-26,2.459
2019-09-30,16.0
2019-10-09,-5.5172
2019-10-10,9.4891
2019-10-15,66.6667
2019-10-16,0.0
2019-10-18,0.0
2019-10-25,-4.0
2019-10-28,-0.4208
2019-10-29,25.1098
2019-10-30,0.0
2019-10-31,0.3311
2019-11-01,0.0033
2019-11-04,18.3333
2019-11-05,-11.2676
2019-11-06,19.0476
2019-11-08,-0.5333
2019-11-14,0.0
2019-11-15,7.2386
2019-11-18,0.0
2019-11-19,-17.5
2019-11-20,6.0576
2019-11-22,7.1459
2019-12-06,-5.3333
2019-12-09,5.3521
2019-12-13,-34.492
2019-12-16,0.8776
2019-12-17,21.3838
2019-12-18,16.6633
2019-12-19,-12.8547
2019-12-20,-3.2787
2019-12-23,1.6949
2019-12-27,-23.3333
2019-12-30,8.6957
2019-12-31,-20.0
2020-01-03,36.995
2020-01-08,11.3179
2020-01-09,0.3279
2020-01-10,4.902
2020-01-14,-20.5607
2020-01-15,17.6431
2020-01-17,-18.3306
2020-01-21,22.449
2020-01-22,5.0
2020-01-29,-28.5714
2020-01-30,-11.1111
2020-01-31,10.0
2020-02-03,13.1818
2020-02-06,0.4016
2020-02-07,0.0
2020-02-10,0.0
2020-02-11,-0.004
2020-02-12,-19.9968
2020-02-13,-2.5
2020-02-14,-2.5641
2020-02-18,-2.6316
2020-02-19,2.7027
2020-02-20,-7.3684
2020-02-21,-2.5568
2020-02-24,-6.7055
2020-02-26,-10.3125
2020-02-27,-8.7108
2020-02-28,-4.5802
2020-03-02,16.0
2020-03-03,3.4483
2020-03-04,6.6667
2020-03-05,-3.125
2020-03-06,6.4516
2020-03-09,3.0303
2020-03-10,0.0
2020-03-11,-8.8235
2020-03-12,-16.1226
2020-03-13,-0.7846
2020-03-16,-10.8458
2020-03-17,12.1739
2020-03-18,-22.4806
2020-03-19,24.99
2020-03-23,-7.9926
2020-03-24,4.3478
2020-03-26,-18.5333
2020-03-27,22.7496
2020-03-30,-18.3333
2020-04-01,-10.2041
2020-04-02,7.9545
2020-04-06,-15.7895
2020-04-07,9.375
2020-04-09,42.8457
2020-04-13,-0.7921
2020-04-15,16.9355
2020-04-20,-17.2414
2020-04-21,-0.8333
2020-04-22,-7.563
2020-04-23,0.0
2020-04-24,0.0
2020-04-27,12.7273
2020-04-28,-15.3226
2020-04-29,4.7619
2020-04-30,12.7273
2020-05-01,101.6129
2020-05-04,18.0
2020-05-05,18.3051
2020-05-06,-14.0401
2020-05-07,0.33
2020-05-08,-16.9408
2020-05-19,-20.4
2020-05-20,-12.0603
2020-05-21,0.0
2020-05-22,2.8514
2020-05-26,-4.1613
2020-05-28,15.3623
2020-06-02,-9.5477
2020-06-04,10.5556
2020-06-05,0.0
2020-06-08,-24.6231
2020-06-10,-6.6667
2020-06-12,25.0
2020-06-15,-14.2857
2020-06-18,16.6667
2020-06-25,-14.2857
2020-06-29,-16.6667
2020-06-30,0.0
2020-07-02,-36.0
2020-07-06,37.5
2020-07-08,13.6364
2020-07-09,-12.0
2020-07-10,-9.0909
2020-07-13,0.0
2020-07-14,0.0
2020-07-15,0.0
2020-07-16,0.0
2020-07-17,0.0
2020-07-20,-10.0
2020-07-21,-72.2222
2020-07-22,520.0
2020-07-23,-77.4194
2020-07-27,0.0
2020-07-28,59.5571
2020-07-29,-46.2799
2020-07-30,50.0
2020-07-31,-8.8889
