ticker,EPRA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,11.3861
2000-01-05,0.0
2000-01-06,-28.8889
2000-01-11,25.0
2000-01-12,12.5
2000-01-14,-22.2222
2000-01-20,14.2857
2000-01-21,0.0
2000-01-27,-12.5
2000-01-31,14.2857
2000-02-02,0.0
2000-02-03,-3.125
2000-02-04,3.2258
2000-02-14,-12.5
2000-03-02,14.2857
2000-03-16,-20.0
2000-03-23,9.375
2000-03-24,0.0
2000-03-27,14.2857
2000-03-31,6.25
2000-04-06,-8.2353
2000-04-18,-42.3077
2000-04-26,82.2222
2000-04-27,8.2927
2000-05-11,12.6126
2000-05-18,-40.0
2000-05-30,33.3333
2000-06-07,0.0
2000-06-08,3.5
2000-07-06,-3.3816
2000-08-01,-25.0
2000-08-23,66.6667
2000-09-13,-30.0
2000-12-01,-39.2857
2000-12-04,-5.8824
2000-12-05,50.0
2000-12-12,-33.3333
2000-12-18,-12.5
2000-12-22,28.5714
2001-01-08,0.0
2001-03-07,-88.8889
2001-03-13,748.0
2001-03-22,-5.6604
2001-05-31,0.0
2001-06-01,-70.0
2001-06-04,-60.0
2001-06-05,0.0
2001-06-06,-16.6667
2001-06-07,10.0
2001-06-12,-18.1818
2001-06-13,11.1111
2001-06-14,-20.0
2001-06-15,25.0
2001-06-18,-30.0
2001-06-19,28.5714
2001-06-20,0.0
2001-06-21,-11.1111
2001-06-25,36.25
2001-06-26,-8.2569
2001-06-27,70.0
2001-06-28,-44.1176
2001-06-29,26.3158
2001-07-02,-20.8333
2001-07-03,5.2632
2001-07-05,0.0
2001-07-06,50.0
2001-07-10,-40.0
2001-07-11,22.2222
2001-07-17,-27.2727
2001-07-18,-25.0
2001-07-19,0.0
2001-07-20,-16.6667
2001-07-23,0.0
2001-07-27,-40.0
2001-07-31,66.6667
2001-08-01,40.0
2001-08-17,-28.5714
2001-08-20,20.0
2001-08-21,16.6667
2001-08-22,14.2857
2001-08-23,-12.5
2001-08-24,-14.2857
2001-08-27,25.0
2001-08-28,-26.6667
2001-08-29,-18.1818
2001-08-30,-11.1111
2001-08-31,0.0
2001-09-10,-12.5
2001-09-19,-20.0
2001-09-21,0.0
2001-09-24,25.0
2001-09-25,14.2857
2001-09-26,25.0
2001-09-28,0.0
2001-10-01,-30.0
2001-10-03,0.0
2001-10-05,-20.0
2001-10-12,7.1429
2001-10-16,0.0
2001-10-19,-10.0
2001-10-25,0.0
2001-10-30,3.7037
2001-10-31,-10.7143
2001-11-02,0.0
