ticker,TRGM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-10-18,0.0
2012-10-19,0.0
2012-10-23,0.0
2012-11-02,0.0
2012-11-15,-20.0
2012-11-26,-25.0
2012-11-27,0.0
2012-11-28,5.0
2012-11-29,42.8571
2012-12-07,-22.2222
2012-12-10,-4.2857
2012-12-11,34.3284
2012-12-12,-22.2222
2012-12-13,42.8571
2012-12-14,-20.0
2012-12-18,-23.75
2012-12-19,-1.6393
2012-12-20,0.0
2012-12-21,-16.3333
2012-12-24,7.5697
2012-12-26,3.7037
2012-12-27,0.0
2012-12-28,-13.5714
2012-12-31,3.3058
2013-01-02,-20.0
2013-01-03,20.0
2013-01-04,2.5
2013-01-07,-0.4065
2013-01-09,-6.1224
2013-01-10,0.0
2013-01-11,0.0
2013-01-14,0.0
2013-01-15,-4.3478
2013-01-16,-9.0909
2013-01-17,15.0
2013-01-18,1.7391
2013-01-22,0.4274
2013-01-25,-4.6809
2013-01-30,-10.7143
2013-01-31,0.0
2013-02-01,0.0
2013-02-04,10.0
2013-02-05,-4.5455
2013-02-06,-4.7619
2013-02-07,9.0
2013-02-13,-3.6696999999999997
2013-02-14,-4.7619
2013-02-27,-7.5
2013-03-01,0.0
2013-03-04,0.0
2013-03-07,-18.9189
2013-03-08,-13.3333
2013-03-11,-23.0769
2013-03-12,45.0
2013-03-13,-9.7112
2013-03-14,-3.7571
2013-03-15,19.0476
2013-03-18,0.0
2013-03-21,-29.3333
2013-03-22,41.5094
2013-03-25,0.0
2013-03-26,0.0
2013-03-27,0.0
2013-03-28,0.0
2013-04-01,32.6667
2013-04-02,-2.0101
2013-04-03,5.1282
2013-04-04,1.9512
2013-04-05,1.4354
2013-04-08,1.4151
2013-04-09,16.2791
2013-04-10,60.0
2013-04-11,-1.0
2013-04-12,-4.0404
2013-04-15,5.2632
2013-04-16,7.5
2013-04-17,11.3953
2013-04-18,3.3403
2013-04-19,-12.1212
2013-04-22,-1.1494
2013-04-23,-1.1628
2013-04-24,-1.1764999999999999
2013-04-25,-4.7619
2013-04-26,3.75
2013-04-29,-6.0241
2013-04-30,-53.8462
2013-05-01,5.0
2013-05-02,-29.6296
2013-05-03,50.3759
2013-05-06,37.5
2013-05-07,-5.4545
2013-05-08,-21.9231
2013-05-09,8.3744
2013-05-10,0.0
2013-05-13,0.0
2013-05-14,-13.6364
2013-05-15,13.1579
2013-05-16,0.0
2013-05-20,-11.6279
2013-05-21,5.2632
2013-05-23,-25.0
2013-05-24,20.0
