ticker,HYEG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-04-04,566.6667
2005-09-02,831.0
2005-09-06,83.6735
2005-09-07,-5.5556
2005-09-08,5.8824
2005-09-09,2.2222
2005-09-12,-2.1739
2005-09-13,5.5556
2005-09-14,0.0
2005-09-15,28.4211
2005-09-16,2.459
2005-09-19,-12.0
2005-09-20,9.0909
2005-09-21,0.5
2005-09-22,7.7943999999999996
2005-09-23,21.5385
2005-09-26,-9.4937
2005-09-27,18.8811
2005-09-28,-0.5882
2005-09-29,-2.3669000000000002
2005-09-30,-1.2121
2005-10-03,8.589
2005-10-04,-6.7797
2005-10-05,6.0606
2005-10-06,-2.8571
2005-10-07,-5.8824
2005-10-10,9.375
2005-10-11,8.5714
2005-10-12,-7.8947
2005-10-13,2.8571
2005-10-14,-3.3333
2005-10-17,-2.2989
2005-10-18,5.8824
2005-10-19,5.5556
2005-10-20,-5.2632
2005-10-21,-8.3333
2005-10-24,-3.0303
2005-10-27,6.25
2005-11-01,0.0
2005-11-02,-5.8824
2005-11-03,6.25
2005-11-04,-3.5294
2005-11-07,0.0
2005-11-08,-0.6098
2005-11-11,-4.908
2005-11-15,0.0
2005-11-18,-3.2258
2005-11-21,5.3333
2005-11-23,0.0
2005-11-28,-24.0506
2005-11-29,2.5
2005-11-30,12.1951
2005-12-01,0.0
2005-12-02,0.0
2005-12-07,-5.7971
2005-12-08,-3.8462
2005-12-12,-3.2
2005-12-13,2.4793
2005-12-14,-3.2258
2005-12-15,0.0
2005-12-16,0.0
2005-12-30,-12.5
2006-01-03,33.3333
2006-01-04,10.7143
2006-01-05,3.2258
2006-01-06,3.125
2006-01-09,-3.0303
2006-01-10,-3.125
2006-01-12,0.0
2006-01-13,0.6452
2006-01-17,0.641
2006-01-18,-3.1847
2006-01-19,3.2895
2006-01-20,-1.2739
2006-01-24,-5.8065
2006-01-25,9.589
2006-01-26,-3.125
2006-01-27,-3.2258
2006-01-30,6.6667
2006-01-31,0.0
2006-02-01,-6.25
2006-02-02,-4.0
2006-02-03,7.6389
2006-02-06,1.9355
2006-02-07,-1.8987
2006-02-08,0.0
2006-02-09,-4.5161
2006-02-13,-1.3514
2006-02-14,6.1644
2006-02-15,0.0
2006-02-16,1.9355
2006-02-17,-1.8987
2006-02-21,-1.9355
2006-02-22,-0.6579
2006-02-23,9.2715
2006-02-24,-6.0606
2006-02-27,-6.4516
2006-02-28,1.3793
2006-03-01,2.0408
2006-03-02,0.0
2006-03-03,-3.3333
