ticker,SOGO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-11-09,3.8462
2017-11-10,2.5926
2017-11-13,-0.2166
2017-11-14,-5.9334
2017-11-15,-2.3846
2017-11-16,4.5705
2017-11-17,-0.6029
2017-11-20,2.7293
2017-11-21,1.107
2017-11-22,-1.0949
2017-11-24,-3.69
2017-11-27,0.0
2017-11-28,-0.9962
2017-11-29,1.0062
2017-11-30,-5.7471
2017-12-01,-9.2683
2017-12-04,-1.4337
2017-12-05,6.3636
2017-12-06,-2.3077
2017-12-07,1.7498
2017-12-08,0.172
2017-12-11,2.4893
2017-12-12,-2.2613
2017-12-13,-2.3136
2017-12-14,-2.6316
2017-12-15,0.8108
2017-12-18,1.6086
2017-12-19,3.0783
2017-12-20,-0.9386
2017-12-21,-0.0861
2017-12-22,0.5172
2017-12-26,0.5146
2017-12-27,0.7679
2017-12-28,-0.5927
2017-12-29,-1.448
2018-01-02,2.8522
2018-01-03,0.0
2018-01-04,2.2689
2018-01-05,2.9581
2018-01-08,2.3144
2018-01-09,-1.5601
2018-01-10,-0.0792
2018-01-11,-1.1895
2018-01-12,-1.0433
2018-01-16,-1.3788
2018-01-17,-3.3717
2018-01-18,-2.383
2018-01-19,-0.2616
2018-01-22,-2.2727
2018-01-23,0.9839
2018-01-24,2.9229000000000003
2018-01-25,-0.7745
2018-01-26,6.8517
2018-01-29,-9.3344
2018-01-30,-4.6553
2018-01-31,-3.4742
2018-02-01,0.0
2018-02-02,-0.7782
2018-02-05,-6.5686
2018-02-06,7.9748
2018-02-07,-7.9689
2018-02-08,-4.6463
2018-02-09,-3.2115
2018-02-12,4.2334
2018-02-13,7.3546
2018-02-14,-3.3742
2018-02-15,0.3175
2018-02-16,-0.6329
2018-02-20,-1.4862
2018-02-21,0.6466
2018-02-22,-0.8565
2018-02-23,-1.9438
2018-02-26,0.6608
2018-02-27,-2.0788
2018-02-28,-1.6760000000000002
2018-03-01,1.9318
2018-03-02,4.0134
2018-03-05,0.1072
2018-03-06,3.1048999999999998
2018-03-07,0.5192
2018-03-08,2.2727
2018-03-09,-2.2222
2018-03-12,-2.0661
2018-03-13,0.4219
2018-03-14,0.105
2018-03-15,-0.4197
2018-03-16,3.2666
2018-03-19,-2.1429
2018-03-20,-1.5641
2018-03-21,-1.6949
2018-03-22,-3.4483
2018-03-23,-6.1384
2018-03-26,-1.0702
2018-03-27,-0.601
2018-03-28,-0.8464
2018-03-29,0.6098
2018-04-02,-1.697
2018-04-03,0.2466
