ticker,PD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-04-11,59.375
2019-04-12,3.268
2019-04-15,-0.8354
2019-04-16,-2.8593
2019-04-17,5.1248
2019-04-18,-2.125
2019-04-22,0.613
2019-04-23,1.244
2019-04-24,0.8024
2019-04-25,-1.7412999999999998
2019-04-26,9.3671
2019-04-29,7.6389
2019-04-30,0.8602
2019-05-01,-0.1706
2019-05-02,-2.3067
2019-05-03,1.4429
2019-05-06,5.6897
2019-05-07,0.0
2019-05-08,0.0816
2019-05-09,0.3056
2019-05-10,5.261
2019-05-13,-4.5735
2019-05-14,6.3498
2019-05-15,1.6353
2019-05-16,4.0973
2019-05-17,-1.7074
2019-05-20,0.6765
2019-05-21,-0.3451
2019-05-22,-1.6038000000000001
2019-05-23,-3.7229
2019-05-24,2.3663
2019-05-28,-1.3719000000000001
2019-05-29,-1.1052
2019-05-30,-0.1734
2019-05-31,-0.7914
2019-06-03,-10.0973
2019-06-04,-3.3543
2019-06-05,6.5383
2019-06-06,-0.042
2019-06-07,2.8175
2019-06-10,1.9426999999999999
2019-06-11,0.7823
2019-06-12,10.0916
2019-06-13,-2.1877
2019-06-14,6.0444
2019-06-17,-3.6604
2019-06-18,-1.4836
2019-06-19,-0.1653
2019-06-20,-1.0486
2019-06-21,-0.7065
2019-06-24,-7.7326
2019-06-25,-3.5714
2019-06-26,-2.1886
2019-06-27,2.7969
2019-06-28,-1.5278
2019-07-01,-2.0616
2019-07-02,0.3906
2019-07-03,1.6644999999999999
2019-07-05,1.4034
2019-07-08,-0.021
2019-07-09,4.2366
2019-07-10,1.6499000000000001
2019-07-11,-2.2169
2019-07-12,-1.6599
2019-07-15,2.2026
2019-07-16,-2.2356
2019-07-17,-1.7511
2019-07-18,-5.8293
2019-07-19,3.0728
2019-07-22,0.7777
2019-07-23,-5.3591
2019-07-24,1.7894
2019-07-25,-3.2043
2019-07-26,5.0115
2019-07-29,-3.5683
2019-07-30,2.0658
2019-07-31,-1.6904
2019-08-01,-5.6561
2019-08-02,-5.4436
2019-08-05,-4.6158
2019-08-06,-1.8878
2019-08-07,1.8699
2019-08-08,6.5975
2019-08-09,-6.1642
2019-08-12,-2.766
2019-08-13,-0.9847
2019-08-14,-1.2431
2019-08-15,-5.5944
2019-08-16,2.7556000000000003
2019-08-19,2.1338
2019-08-20,-2.5974
2019-08-21,1.5362
2019-08-22,2.2552
2019-08-23,-2.6801
2019-08-26,2.1228
2019-08-27,-0.2247
2019-08-28,1.2106
