ticker,FIZZ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.0303
2000-01-04,0.0
2000-01-05,0.0
2000-01-06,-1.5625
2000-01-10,3.1746
2000-01-12,-1.5385
2000-01-13,-1.5625
2000-01-14,0.0
2000-01-18,0.0
2000-01-19,0.0
2000-01-20,0.0
2000-01-21,-1.5873
2000-01-24,0.0
2000-01-25,-0.8065
2000-01-28,-3.252
2000-01-31,-4.2017
2000-02-01,5.2632
2000-02-02,-0.8333
2000-02-03,2.521
2000-02-07,0.0
2000-02-08,1.6393
2000-02-09,-3.2258
2000-02-10,-0.8333
2000-02-15,0.0
2000-02-16,1.6806999999999999
2000-02-17,-1.6529
2000-02-18,0.0
2000-02-22,-0.8403
2000-02-23,1.6949
2000-02-24,0.0
2000-02-25,0.0
2000-02-28,-1.6667
2000-02-29,0.0
2000-03-01,3.3898
2000-03-02,-3.2787
2000-03-03,0.0
2000-03-06,3.3898
2000-03-07,-2.459
2000-03-08,0.0
2000-03-09,-0.8403
2000-03-10,3.3898
2000-03-13,11.4754
2000-03-14,1.4706000000000001
2000-03-15,-2.8986
2000-03-17,2.9851
2000-03-20,-4.3478
2000-03-21,-1.5152
2000-03-22,0.0
2000-03-23,1.5385
2000-03-24,-0.7576
2000-03-28,5.3435
2000-03-29,2.8986
2000-03-30,-9.8592
2000-03-31,0.0
2000-04-03,0.0
2000-04-04,0.0
2000-04-05,3.125
2000-04-06,9.0909
2000-04-10,0.0
2000-04-11,-1.3889
2000-04-12,0.0
2000-04-13,-1.4085
2000-04-14,-1.4285999999999999
2000-04-17,-5.7971
2000-04-18,1.5385
2000-04-19,3.0303
2000-04-20,0.0
2000-04-24,-4.4118
2000-04-25,2.3077
2000-04-26,-1.5038
2000-04-27,1.5267
2000-05-01,2.2556
2000-05-03,-2.9412000000000003
2000-05-04,6.0606
2000-05-05,0.0
2000-05-08,1.4285999999999999
2000-05-09,2.8169
2000-05-10,1.3699
2000-05-11,4.0541
2000-05-15,1.2987
2000-05-17,-1.2821
2000-05-18,-1.2987
2000-05-19,-2.6316
2000-05-22,-2.7027
2000-05-23,1.3889
2000-05-24,0.0
2000-05-25,-4.1096
2000-05-26,0.0
2000-05-30,-1.4285999999999999
2000-05-31,-2.8986
2000-06-05,0.0
2000-06-07,-2.9851
2000-06-08,5.3846
2000-06-09,-3.6496
2000-06-13,-0.7576
2000-06-14,-1.5267
2000-06-15,4.6512
2000-06-16,-0.7407
2000-06-21,1.4925
