ticker,ZTS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-02-01,19.2692
2013-02-04,0.0322
2013-02-05,0.0645
2013-02-06,-0.0322
2013-02-07,3.126
2013-02-08,3.2812
2013-02-11,0.6354
2013-02-12,1.4432
2013-02-13,-0.5631
2013-02-14,-0.8346
2013-02-15,2.1341
2013-02-19,-0.412
2013-02-20,-3.3097
2013-02-21,-0.489
2013-02-22,0.0921
2013-02-25,-1.5956000000000001
2013-02-26,-0.0935
2013-02-27,0.8739
2013-02-28,3.4963
2013-03-01,3.438
2013-03-04,-0.7225
2013-03-05,-0.1747
2013-03-06,-1.2832
2013-03-07,2.0975
2013-03-08,-1.3599999999999999
2013-03-11,0.264
2013-03-12,-1.0532
2013-03-13,0.5322
2013-03-14,1.8824
2013-03-15,-3.4642
2013-03-18,-1.7943
2013-03-19,-0.1218
2013-03-20,2.1646
2013-03-21,-0.1194
2013-03-22,-1.0457
2013-03-25,-1.9928
2013-03-26,0.154
2013-03-27,0.7075
2013-03-28,2.0159
2013-04-01,-2.4251
2013-04-02,-0.1227
2013-04-03,-0.0614
2013-04-04,-2.1211
2013-04-05,0.3769
2013-04-08,3.0038
2013-04-09,1.5796000000000001
2013-04-10,-0.8672
2013-04-11,0.0302
2013-04-12,0.2111
2013-04-15,-2.9792
2013-04-16,3.0087
2013-04-17,-0.9636
2013-04-18,-1.2770000000000001
2013-04-19,0.7391
2013-04-22,-0.1529
2013-04-23,-2.9394
2013-04-24,-3.4069
2013-04-25,3.0372
2013-04-26,3.4548
2013-04-29,0.2604
2013-04-30,1.1023
2013-05-01,1.1205
2013-05-02,-0.3294
2013-05-03,-0.2103
2013-05-06,-0.813
2013-05-07,-0.1821
2013-05-08,1.1557
2013-05-09,0.8719
2013-05-10,-1.1028
2013-05-13,-0.4219
2013-05-14,0.1211
2013-05-15,-0.8767
2013-05-16,1.8298
2013-05-17,1.5274
2013-05-20,-0.5605
2013-05-21,-1.9875
2013-05-22,1.5436
2013-05-23,-2.1162
2013-05-24,1.8879000000000001
2013-05-28,2.3909000000000002
2013-05-29,-3.8237
2013-05-30,-2.1548
2013-05-31,-0.7444
2013-06-03,2.3438
2013-06-04,-1.0687
2013-06-05,-0.7099
2013-06-06,-0.2798
2013-06-07,-1.808
2013-06-10,1.619
2013-06-11,-0.9684
2013-06-12,-0.5363
2013-06-13,-1.1418
2013-06-14,-1.187
2013-06-17,0.5195
2013-06-18,0.7106
2013-06-19,-0.5773
2013-06-20,-2.6129
