ticker,OPTI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-09-28,50.0
2016-09-30,0.0
2016-10-19,0.0
2016-10-24,1533.3333
2016-10-25,104.0816
2016-10-26,-55.0
2016-10-28,0.0
2017-02-22,-77.7778
2017-04-07,50.0
2017-04-28,33.3333
2017-05-05,0.0
2017-06-27,-24.5
2017-08-03,49.0066
2017-08-04,0.0
2017-08-10,32.8889
2017-08-16,-0.3344
2017-08-18,0.0
2017-08-21,2.349
2017-08-24,0.0
2017-08-25,0.0
2017-08-31,0.0
2017-09-01,0.0
2017-09-05,0.0
2017-09-06,-1.6393
2017-09-08,0.0
2017-09-12,0.0
2017-09-13,1.6667
2017-09-14,1.6393
2017-09-15,0.0
2017-09-18,0.0
2017-09-19,0.0
2017-09-20,0.0
2017-09-21,0.0
2017-09-22,0.0
2017-09-25,0.0
2017-09-26,0.0
2017-09-27,0.0
2017-09-28,0.0
2017-09-29,0.0
2017-10-02,0.0
2017-10-03,0.0
2017-10-04,0.0
2017-10-05,0.0
2017-10-06,0.0
2017-10-09,0.0
2017-10-10,0.0
2017-10-11,0.0
2017-10-12,0.0
2017-10-13,0.0
2017-10-16,0.0
2017-10-17,0.0
2017-10-18,0.6452
2017-10-19,2.5641
2017-10-20,0.0
2017-10-23,0.0
2017-10-24,1.5625
2017-10-25,-1.5385
2017-10-26,0.0
2017-10-27,1.5625
2017-10-30,0.0
2017-10-31,1.5385
2017-11-01,1.5152
2017-11-02,0.0
2017-11-06,19.403
2017-11-07,0.0
2017-11-08,0.0
2017-11-09,-6.25
2017-11-10,3.3333
2017-11-14,-0.6452
2017-11-15,0.0
2017-11-16,-5.1948
2017-11-20,9.589
2017-11-24,0.0
2017-11-28,0.0
2017-12-04,0.0
2017-12-11,6.25
2017-12-12,5.8824
2017-12-13,0.0
2017-12-14,0.0
2017-12-15,0.4333
2017-12-18,1.7812000000000001
2017-12-20,-0.913
2017-12-22,-12.2422
2017-12-28,10.0
2017-12-29,3.4091
2018-01-02,6.4286
2018-01-10,-2.9427
2018-01-22,-9.5745
2018-01-23,0.0
2018-01-24,5.8824
2018-01-31,0.0
2018-02-07,0.4222
2018-02-08,3.5849
2018-03-09,-4.0803
2018-03-12,-4.2316
2018-03-13,4.6512
2018-04-02,-6.6667
2018-04-06,-0.0024
2018-04-12,8.574
2018-04-13,8.5526
2018-04-19,24.2424
2018-04-23,-6.5041
2018-04-24,-4.3478
2018-04-27,12.7273
2018-04-30,0.0
2018-05-02,0.0
