ticker,PIRS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-01-09,0.0
2015-01-12,0.0
2015-01-21,0.3636
2015-01-29,1.4493
2015-02-11,1.7856999999999998
2015-02-17,0.0
2015-02-18,5.2632
2015-02-19,6.6667
2015-02-26,1.5625
2015-03-05,-2.7692
2015-03-09,2.8481
2015-03-10,-1.5385
2015-03-11,-6.25
2015-03-17,6.6667
2015-03-23,0.0
2015-03-30,0.0
2015-04-01,0.0
2015-04-09,0.0
2015-04-10,7.8125
2015-04-13,5.7971
2015-04-14,-4.1096
2015-04-15,7.1429
2015-04-16,-0.4
2015-04-17,0.4016
2015-04-20,-6.6667
2015-04-21,-2.8571
2015-04-22,-12.0588
2015-04-24,0.0
2015-04-27,-1.3378
2015-04-28,0.339
2015-04-29,8.1081
2015-04-30,-6.25
2015-05-01,-3.6667
2015-05-04,-3.1142
2015-05-05,-1.9643000000000002
2015-05-06,2.0036
2015-05-07,-5.3571
2015-05-12,5.6604
2015-05-13,7.5
2015-05-14,-2.99
2015-05-15,2.3973
2015-05-18,0.3344
2015-05-19,3.3333
2015-05-20,3.2258
2015-05-21,1.5625
2015-05-22,-4.6154
2015-05-26,1.6129
2015-05-27,-4.7619
2015-05-28,0.0
2015-05-29,3.3333
2015-06-01,-3.2258
2015-06-04,-1.0
2015-06-05,1.3468
2015-06-08,2.4917
2015-06-09,-0.8104
2015-06-10,0.9804
2015-06-11,3.8834999999999997
2015-06-12,0.0
2015-06-15,-0.9346
2015-06-16,-1.8868
2015-06-17,10.5769
2015-06-18,-1.4493
2015-06-19,13.2353
2015-06-22,3.8961
2015-06-23,5.0
2015-06-24,-1.1905000000000001
2015-06-25,-4.0964
2015-06-26,-18.0905
2015-06-29,0.0
2015-06-30,-15.6442
2015-07-01,-0.3636
2015-07-02,0.365
2015-07-06,-8.0
2015-07-07,4.7431
2015-07-08,-5.6604
2015-07-09,0.4
2015-07-10,5.5777
2015-07-13,-2.6414999999999997
2015-07-14,1.1628
2015-07-15,-2.2989
2015-07-16,3.9215999999999998
2015-07-17,2.6414999999999997
2015-07-20,-1.1029
2015-07-21,0.3717
2015-07-22,4.0741
2015-07-23,-0.7117
2015-07-24,5.7348
2015-07-27,8.1356
2015-07-28,0.3135
2015-07-29,-4.0625
2015-07-30,-0.3257
2015-07-31,4.5752
2015-08-03,-0.9375
2015-08-04,0.9464
2015-08-05,5.625
2015-08-06,6.213
2015-08-07,-6.1281
2015-08-10,-5.0445
2015-08-11,-2.8125
